time,Accumulated_Charge_Avg,Voltage_Avg
1580528838,32687,6.718626688029297
1580528902,32557,6.679374380102236
1580528966,32426,6.654166475928894
1580529030,32295,6.6372411688410775
1580529094,32164,6.625357442587931
1580529158,32034,6.617074845502403
1580529222,31904,6.612033264667735
1580529286,31775,6.608072022583352
1580529350,31645,6.605551232166019
1580529414,31516,6.604110780498971
1580529478,31388,6.6026703288319215
1580529542,31259,6.601229877164874
1580529606,31129,6.60050965133135
1580529670,31000,6.599429312581064
1580529734,30870,6.59870908674754
1580529798,30611,6.59690852216373
1580529862,30481,6.596548409246968
1580529926,30352,6.595468070496681
1580529990,30222,6.594747844663158
1580530054,30093,6.594027618829633
1580530118,29963,6.59330739299611
1580530182,29834,6.592947280079348
1580530246,29705,6.592227054245823
1580530310,29575,6.5915068284122995
1580530374,29446,6.590786602578775
1580530438,29317,6.59006637674525
1580530502,29188,6.589706263828489
1580530566,29059,6.588986037994965
1580530630,28930,6.58826581216144
1580530694,28801,6.587545586327917
1580530758,28542,6.586105134660869
1580530822,28412,6.585745021744107
1580530886,28283,6.5850247959105825
1580530950,28231,6.613113603418022
1580531014,28324,6.628238345922027
1580531078,28355,6.627518120088503
1580531142,28401,6.628238345922027
1580531206,28477,6.645523765926605
1580531270,28560,6.637601281757839
1580531334,28586,6.64300297550927
1580531398,28672,6.6523659113450835
1580531462,28781,6.657047379262989
1580531526,28827,6.6480445563439385
1580531590,28938,6.66785076676585
1580531654,29053,6.663529411764706
1580531718,29236,6.671451895933471
1580531782,29396,6.679734493018998
1580531846,29499,6.677573815518426
1580531910,29585,6.670731670099947
1580531974,29696,6.684776073853667
1580532038,29805,6.675053025101092
1580532102,29861,6.677213702601663
1580532166,29963,6.68369573510338
1580532230,30075,6.684055848020143
1580532294,30126,6.673612573434043
1580532358,30222,6.686936751354239
1580532422,30325,6.68369573510338
1580532486,30413,6.681174944686046
1580532550,30462,6.679734493018998
1580532614,30565,6.688377203021287
1580532678,30729,6.68009460593576
1580532742,30817,6.694859235523004
1580532806,30938,6.6977401388571
1580532870,31018,6.684776073853667
1580532934,31079,6.688737315938049
1580532998,31177,6.694499122606241
1580533062,31262,6.6872968642710005
