time,Status,Control,Last_Charge_Time
1580528787,0x0,0x0,0.0
1580528844,0x0,0x0,0.0
1580528902,0x0,0x0,0.0
1580528959,0x0,0x0,0.0
1580529017,0x0,0x0,0.0
1580529089,0x0,0x0,0.0
1580529146,0x0,0x0,0.0
1580529391,0x0,0x0,0.0
1580529448,0x0,0x0,0.0
1580529506,0x0,0x0,0.0
1580534611,0x0,0x0,0.0
1580534668,0x0,0x0,0.0
1580534726,0x0,0x0,0.0
1580534783,0x0,0x0,0.0
1580534841,0x0,0x0,0.0
1580534898,0x0,0x0,0.0
1580539457,0x0,0x0,0.0
1580539587,0x0,0x0,0.0
1580544390,0x0,0x0,0.0
1580544505,0x0,0x0,0.0
1580544677,0x0,0x0,0.0
1580555909,0x0,0x0,0.0
1580555966,0x0,0x0,0.0
1580556024,0x0,0x0,0.0
1580557045,0x0,0x0,0.0
1580557103,0x0,0x0,0.0
1580557160,0x0,0x0,0.0
1580557218,0x0,0x0,0.0
1580557289,0x0,0x0,0.0
1580557347,0x0,0x0,0.0
1580557405,0x0,0x0,0.0
1580557462,0x0,0x0,0.0
1580557520,0x0,0x0,0.0
1580557577,0x0,0x0,0.0
1580560338,0x0,0x0,0.0
1580561719,0x0,0x0,0.0
1580561791,0x0,0x0,0.0
1580561848,0x0,0x0,0.0
1580561906,0x0,0x0,0.0
1580562150,0x0,0x0,0.0
1580562265,0x0,0x0,0.0
1580562984,0x0,0x0,0.0
1580563042,0x0,0x0,0.0
1580563099,0x0,0x0,0.0
1580563157,0x0,0x0,0.0
1580563229,0x0,0x0,0.0
1580563286,0x0,0x0,0.0
1580563344,0x0,0x0,0.0
1580563401,0x0,0x0,0.0
1580567370,0x0,0x0,0.0
1580567428,0x0,0x0,0.0
1580567486,0x0,0x0,0.0
1580567601,0x0,0x0,0.0
1580567658,0x0,0x0,0.0
1580567730,0x0,0x0,0.0
1580567788,0x0,0x0,0.0
1580567845,0x0,0x0,0.0
1580568018,0x0,0x0,0.0
1580568147,0x0,0x0,0.0
1580569039,0x0,0x0,0.0
1580569168,0x0,0x0,0.0
1580569226,0x0,0x0,0.0
1580573180,0x0,0x0,0.0
1580573367,0x0,0x0,0.0
1580573482,0x0,0x0,0.0
1580573540,0x0,0x0,0.0
1580573597,0x0,0x0,0.0
1580573669,0x0,0x0,0.0
1580573957,0x0,0x0,0.0
1580574029,0x0,0x0,0.0
1580574388,0x0,0x0,0.0
1580574446,0x0,0x0,0.0
1580574503,0x0,0x0,0.0
1580578170,0x0,0x0,0.0
1580578286,0x0,0x0,0.0
1580578343,0x0,0x0,0.0
1580578401,0x0,0x0,0.0
1580578458,0x0,0x0,0.0
1580578530,0x0,0x0,0.0
1580578588,0x0,0x0,0.0
1580578703,0x0,0x0,0.0
1580579364,0x0,0x0,0.0
1580579422,0x0,0x0,0.0
1580579479,0x0,0x0,0.0
1580579537,0x0,0x0,0.0
1580579666,0x0,0x0,0.0
1580579781,0x0,0x0,0.0
1580579839,0x0,0x0,0.0
1580579911,0x0,0x0,0.0
1580580198,0x0,0x0,0.0
1580580270,0x0,0x0,0.0
1580580385,0x0,0x0,0.0
1580584038,0x0,0x0,0.0
1580584110,0x0,0x0,0.0
1580584167,0x0,0x0,0.0
1580584225,0x0,0x0,0.0
1580584282,0x0,0x0,0.0
1580584397,0x0,0x0,0.0
1580584469,0x0,0x0,0.0
1580584584,0x0,0x0,0.0
1580585131,0x0,0x0,0.0
1580585246,0x0,0x0,0.0
1580585303,0x0,0x0,0.0
1580585361,0x0,0x0,0.0
1580585418,0x0,0x0,0.0
1580585490,0x0,0x0,0.0
1580585548,0x0,0x0,0.0
1580585605,0x0,0x0,0.0
1580585663,0x0,0x0,0.0
1580585778,0x0,0x0,0.0
1580588122,0x0,0x0,0.0
1580589747,0x0,0x0,0.0
1580589862,0x0,0x0,0.0
1580589977,0x0,0x0,0.0
1580590049,0x0,0x0,0.0
1580590107,0x0,0x0,0.0
1580590164,0x0,0x0,0.0
1580590409,0x0,0x0,0.0
1580590466,0x0,0x0,0.0
1580590768,0x0,0x0,0.0
1580590826,0x0,0x0,0.0
1580590941,0x0,0x0,0.0
1580590998,0x0,0x0,0.0
1580591070,0x0,0x0,0.0
1580593817,0x0,0x0,0.0
1580594004,0x0,0x0,0.0
1580595327,0x0,0x0,0.0
1580595384,0x0,0x0,0.0
1580595442,0x0,0x0,0.0
1580595499,0x0,0x0,0.0
1580595629,0x0,0x0,0.0
1580595686,0x0,0x0,0.0
1580595744,0x0,0x0,0.0
1580595801,0x0,0x0,0.0
1580595859,0x0,0x0,0.0
1580595931,0x0,0x0,0.0
1580595988,0x0,0x0,0.0
1580596046,0x0,0x0,0.0
1580598203,0x0,0x0,0.0
1580601266,0x0,0x0,0.0
1580601324,0x0,0x0,0.0
1580601381,0x0,0x0,0.0
1580601439,0x0,0x0,0.0
1580601511,0x0,0x0,0.0
1580601626,0x0,0x0,0.0
1580601683,0x0,0x0,0.0
1580601741,0x0,0x0,0.0
1580601798,0x0,0x0,0.0
1580601870,0x0,0x0,0.0
1580601985,0x0,0x0,0.0
1580602043,0x0,0x0,0.0
1580602230,0x0,0x0,0.0
1580602345,0x0,0x0,0.0
1580605465,0x0,0x0,0.0
1580605523,0x0,0x0,0.0
1580605580,0x0,0x0,0.0
1580607090,0x0,0x0,0.0
1580607148,0x0,0x0,0.0
1580607205,0x0,0x0,0.0
1580607263,0x0,0x0,0.0
1580607320,0x0,0x0,0.0
1580607450,0x0,0x0,0.0
1580607565,0x0,0x0,0.0
1580607622,0x0,0x0,0.0
1580607680,0x0,0x0,0.0
1580607738,0x0,0x0,0.0
1580607809,0x0,0x0,0.0
1580607867,0x0,0x0,0.0
1580608040,0x0,0x0,0.0
1580608097,0x0,0x0,0.0
1580608226,0x0,0x0,0.0
1580612124,0x0,0x0,0.0
1580612311,0x0,0x0,0.0
1580613087,0x0,0x0,0.0
1580613145,0x0,0x0,0.0
1580613202,0x0,0x0,0.0
1580613317,0x0,0x0,0.0
1580613389,0x0,0x0,0.0
