time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1580528787,24.86,25.35,25.02,Brownout (BOR),24
1580528844,24.86,25.35,25.16,Brownout (BOR),24
1580528902,24.86,25.6,25.42,Brownout (BOR),24
1580528959,24.86,25.84,25.55,Brownout (BOR),24
1580529031,24.86,25.84,25.59,Brownout (BOR),24
1580529103,24.86,25.84,25.61,Brownout (BOR),24
1580529146,24.86,25.84,25.59,Brownout (BOR),24
1580529391,24.62,25.84,25.01,Brownout (BOR),24
1580529448,24.62,25.84,24.77,Brownout (BOR),24
1580529506,24.13,25.84,24.54,Brownout (BOR),24
1580534611,15.57,25.84,25.58,Brownout (BOR),24
1580534668,15.57,25.84,25.5,Brownout (BOR),24
1580534726,15.57,25.84,25.46,Brownout (BOR),24
1580534783,15.57,25.84,25.33,Brownout (BOR),24
1580534841,15.57,25.84,25.15,Brownout (BOR),24
1580534898,15.57,25.84,24.97,Brownout (BOR),24
1580539457,15.57,25.84,25.17,Brownout (BOR),24
1580539587,15.57,26.08,25.68,Brownout (BOR),24
1580544390,15.57,28.04,25.33,Brownout (BOR),24
1580544505,15.57,28.04,25.99,Brownout (BOR),24
1580544677,15.57,28.04,26.91,Brownout (BOR),24
1580555909,15.57,31.46,24.88,Brownout (BOR),24
1580555966,15.57,31.46,25.11,Brownout (BOR),24
1580556024,15.57,31.46,25.35,Brownout (BOR),24
1580557045,15.57,31.46,28.34,Brownout (BOR),24
1580557103,15.57,31.46,28.37,Brownout (BOR),24
1580557160,15.57,31.46,28.4,Brownout (BOR),24
1580557218,15.57,31.46,28.31,Brownout (BOR),24
1580557289,15.57,31.46,28.18,Brownout (BOR),24
1580557347,15.57,31.46,28.05,Brownout (BOR),24
1580557405,15.57,31.46,27.85,Brownout (BOR),24
1580557462,15.57,31.46,27.62,Brownout (BOR),24
1580557520,15.57,31.46,27.45,Brownout (BOR),24
1580557577,15.57,31.46,27.19,Brownout (BOR),24
1580560338,15.57,31.46,19.41,Brownout (BOR),24
1580561719,15.57,31.46,25.3,Brownout (BOR),24
1580561791,15.57,31.46,25.56,Brownout (BOR),24
1580561848,15.57,31.46,25.81,Brownout (BOR),24
1580561906,15.57,31.46,26.09,Brownout (BOR),24
1580562150,15.57,31.46,26.95,Brownout (BOR),24
1580562265,15.57,31.46,27.41,Brownout (BOR),24
1580562984,15.57,31.46,28.26,Brownout (BOR),24
1580563042,15.57,31.46,28.07,Brownout (BOR),24
1580563099,15.57,31.46,27.87,Brownout (BOR),24
1580563157,15.57,31.46,27.65,Brownout (BOR),24
1580563229,15.57,31.46,27.46,Brownout (BOR),24
1580563286,15.57,31.46,27.15,Brownout (BOR),24
1580563344,15.57,31.46,26.89,Brownout (BOR),24
1580563401,15.57,31.46,26.59,Brownout (BOR),24
1580567370,15.57,31.46,25.59,Brownout (BOR),24
1580567428,15.57,31.46,25.79,Brownout (BOR),24
1580567486,15.57,31.46,25.98,Brownout (BOR),24
1580567601,15.57,31.46,26.35,Brownout (BOR),24
1580567658,15.57,31.46,26.53,Brownout (BOR),24
1580567730,15.57,31.46,26.68,Brownout (BOR),24
1580567788,15.57,31.46,26.87,Brownout (BOR),24
1580567845,15.57,31.46,27.03,Brownout (BOR),24
1580568018,15.57,31.46,27.48,Brownout (BOR),24
1580568147,15.57,31.46,27.69,Brownout (BOR),24
1580569039,15.57,31.46,26.09,Brownout (BOR),24
1580569168,15.57,31.46,25.47,Brownout (BOR),24
1580569226,15.57,31.46,25.17,Brownout (BOR),24
1580573180,15.57,31.46,25.64,Brownout (BOR),24
1580573367,15.57,31.46,26.23,Brownout (BOR),24
1580573482,15.57,31.46,26.63,Brownout (BOR),24
1580573540,15.57,31.46,26.83,Brownout (BOR),24
1580573597,15.57,31.46,26.96,Brownout (BOR),24
1580573669,15.57,31.46,27.11,Brownout (BOR),24
1580573957,15.57,31.46,27.65,Brownout (BOR),24
1580574029,15.57,31.46,27.67,Brownout (BOR),24
1580574388,15.57,31.46,27.01,Brownout (BOR),24
1580574503,15.57,31.46,26.56,Brownout (BOR),24
1580578170,15.57,31.46,24.21,Brownout (BOR),24
1580578286,15.57,31.46,24.83,Brownout (BOR),24
1580578343,15.57,31.46,25.13,Brownout (BOR),24
1580578415,15.57,31.46,25.42,Brownout (BOR),24
1580578458,15.57,31.46,25.69,Brownout (BOR),24
1580578530,15.57,31.46,26.0,Brownout (BOR),24
1580578588,15.57,31.46,26.26,Brownout (BOR),24
1580578703,15.57,31.46,26.83,Brownout (BOR),24
1580579364,15.57,31.46,29.43,Brownout (BOR),24
1580579422,15.57,31.46,29.55,Brownout (BOR),24
1580579479,15.57,31.46,29.75,Brownout (BOR),24
1580579537,15.57,31.46,29.94,Brownout (BOR),24
1580579666,15.57,31.46,30.16,Brownout (BOR),24
1580579781,15.57,31.46,30.17,Brownout (BOR),24
1580579839,15.57,31.46,30.03,Brownout (BOR),24
1580579911,15.57,31.46,29.96,Brownout (BOR),24
1580580198,15.57,31.46,28.91,Brownout (BOR),24
1580580270,15.57,31.46,28.68,Brownout (BOR),24
1580580385,15.57,31.46,28.11,Brownout (BOR),24
1580584038,15.57,31.46,27.71,Brownout (BOR),24
1580584110,15.57,31.46,28.01,Brownout (BOR),24
1580584167,15.57,31.46,28.29,Brownout (BOR),24
1580584225,15.57,31.46,28.61,Brownout (BOR),24
1580584282,15.57,31.46,28.81,Brownout (BOR),24
1580584397,15.57,31.46,29.33,Brownout (BOR),24
1580584469,15.57,31.46,29.6,Brownout (BOR),24
1580584584,15.57,31.46,30.18,Brownout (BOR),24
1580585131,15.57,32.44,32.12,Brownout (BOR),24
1580585246,15.57,32.68,32.39,Brownout (BOR),24
1580585303,15.57,32.68,32.44,Brownout (BOR),24
1580585361,15.57,32.68,32.45,Brownout (BOR),24
1580585418,15.57,32.68,32.4,Brownout (BOR),24
1580585490,15.57,32.68,32.28,Brownout (BOR),24
1580585548,15.57,32.68,32.15,Brownout (BOR),24
1580585605,15.57,32.68,31.94,Brownout (BOR),24
1580585663,15.57,32.68,31.76,Brownout (BOR),24
1580585778,15.57,32.68,31.28,Brownout (BOR),24
1580588122,15.57,32.68,21.53,Brownout (BOR),24
