time,Dipole_Variance_X,Dipole_Variance_Y,Dipole_Variance_Z
1584763119,915,1860,872
1584763182,0,0,0
1584763239,0,0,0
1584763302,0,0,0
1584763359,0,0,0
1584763421,0,0,0
1584763479,0,0,0
1584763541,0,0,0
1584763599,0,0,0
1584763661,0,0,0
1584763719,0,0,0
1584763852,0,0,0
1584763909,0,0,0
1584767030,0,0,0
1584767087,760,847,3472
1584767159,285,462,135
1584767217,296,343,120
1584767274,345,545,277
1584767332,133,82,188
1584768942,0,0,0
1584768999,0,0,0
1584769061,0,0,0
1584769119,0,0,0
1584769181,0,0,0
1584769239,0,0,0
1584769301,0,0,0
1584769359,0,0,0
1584769421,0,0,0
1584769541,0,0,0
1584769661,0,0,0
1584769718,0,0,0
1584769798,0,0,0
1584769856,0,0,0
1584769913,0,0,0
1584772790,0,0,0
1584772977,0,0,0
1584774717,0,0,0
1584774774,0,0,0
1584774832,0,0,0
1584774889,0,0,0
1584774961,0,0,0
1584775019,2503,0,0
1584775076,0,0,0
1584775148,2503,2503,0
1584775191,0,0,0
1584775249,0,2503,2503
1584775321,0,0,0
1584775378,895,714,4332
1584775436,0,0,0
1584775493,0,0,0
1584775551,0,0,0
1584775608,0,0,0
1584775738,0,0,0
1584779578,0,0,0
1584779635,0,0,0
1584779750,0,0,0
1584779808,0,0,0
1584779880,0,0,0
1584780541,0,0,0
1584780599,0,0,0
1584780656,0,0,0
1584780714,0,0,0
1584780771,0,0,0
1584780829,0,0,0
1584780901,0,0,0
1584780958,0,0,0
1584781016,0,0,0
1584781073,0,0,0
1584781131,0,0,0
1584781188,0,0,0
1584781260,0,0,0
1584781318,0,0,0
1584781375,0,0,0
1584781433,0,0,0
1584781490,0,0,0
1584785343,0,0,0
1584785401,0,0,0
1584785458,0,0,0
1584785530,0,0,0
1584785703,0,0,0
1584786609,0,0,0
1584786666,0,0,0
1584786724,0,0,0
1584786781,0,0,0
1584786839,0,0,0
1584786896,0,0,0
1584786968,0,0,0
1584787083,0,0,0
1584791340,0,0,0
1584791398,0,0,0
1584791470,0,0,0
1584791527,0,0,0
1584803406,0,0,0
1584803464,0,0,0
1584809101,0,0,0
1584809159,0,0,0
1584809216,0,0,0
1584813545,0,0,0
1584813602,0,0,0
1584813789,0,0,0
1584813847,0,0,0
1584813904,0,0,0
1584816249,749,279,138
1584819297,0,0,0
1584819427,0,0,0
1584819484,0,0,0
1584819542,0,0,0
1584819599,0,0,0
1584819657,0,0,0
1584819729,0,0,0
1584819786,0,0,0
1584819844,0,0,0
1584819901,0,0,0
1584819959,0,0,0
1584822059,0,0,0
1584825237,0,0,0
1584825309,0,0,0
1584825366,0,0,0
1584825424,0,0,0
1584825481,0,0,0
1584825539,0,0,0
1584825596,0,0,0
1584825668,0,0,0
1584825726,0,0,0
1584825783,0,0,0
1584825841,0,0,0
1584827524,0,0,0
1584827639,0,0,0
