time,Magnetometer_X_Variance,Magnetometer_Y_Variance,Magnetometer_Z_Variance
1584763119,84,6,19
1584763182,72,90,13
1584763239,1739,507,809
1584763302,131,294,1476
1584763364,1933,85,332
1584763421,101,0,221
1584763479,2577,241,1355
1584763541,102,777,1619
1584763599,1315,318,605
1584763661,403,25,10
1584763719,163,541,643
1584763852,63,84,1849
1584763909,470,6,222
1584767030,0,0,0
1584767087,31644,10932,29533
1584767159,11794,4718,1468
1584767217,3690,12620,3661
1584767274,21521,3180,26098
1584767332,534,6141,10586
1584768942,3064,519,1472
1584768999,11760,5254,288
1584769061,3466,4889,12371
1584769119,35676,1363,10224
1584769186,1446,3255,950
1584769301,450,908,2834
1584769421,4001,19652,1198
1584769541,1634,19582,772
1584769723,23798,9688,974
1584769798,419,2332,1164
1584769856,43250,2281,6276
1584769913,692,7786,5144
1584772790,1951,10701,5344
1584772977,29954,607,543
1584774717,2195,104,26
1584774774,928,4387,2287
1584774832,6599,2175,19173
1584774889,744,12689,16775
1584774961,8939,7497,183
1584775019,2306,1948,772
1584775091,0,0,0
1584775119,0,0,0
1584775191,0,0,0
1584775234,0,0,0
1584775321,0,0,0
1584775364,65535,29254,65535
1584775450,15697,6495,1212
1584775493,16509,5520,4322
1584775551,7003,104,3046
1584775608,10585,5826,120
1584775738,1544,5013,29
1584779578,2059,217,4364
1584779635,7638,908,1176
1584779750,1610,818,5
1584779808,3313,5953,24
1584779880,8274,471,2364
1584780541,4484,2999,7113
1584780599,7919,1255,4664
1584780656,3199,560,197
1584780714,10634,51,2284
1584780771,2493,15,6854
1584780829,6637,5835,4469
1584780901,1098,2468,741
1584780958,2560,257,19
1584781016,211,4937,1805
1584781073,9507,1314,8296
1584781131,413,70,5204
1584781188,9826,36,180
1584781260,626,47,1649
1584781318,9417,221,4525
1584781375,452,4373,3515
1584781433,3268,932,447
1584781490,1977,54,179
1584785343,23486,1565,1445
1584785401,363,604,154
1584785458,26739,1823,978
1584785530,2141,2801,2251
1584785703,162,1310,2
1584786623,15059,8920,19
1584786666,18439,6155,250
1584786724,3724,2156,332
1584786781,27137,2829,5
1584786839,306,1377,2
1584786911,13980,5545,110
1584786968,9291,5016,9
1584787083,20135,650,507
1584791340,2695,139,3274
1584791398,131,6,207
1584791470,4061,28,1230
1584791527,194,689,4642
1584803406,903,970,5023
1584803464,14218,799,4075
1584809115,12369,6696,305
1584809159,2816,1524,12888
1584809216,14093,914,5386
1584813502,18567,10860,3804
1584813545,4515,17146,4923
1584813602,6320,1455,1150
1584813789,174,2495,3048
1584813847,634,325,34
1584813904,8726,1340,1542
1584816249,22727,12257,5968
