time,SPAM_Off_Time,SPAM_On_Time,SPAM_Control,Max_Tumble_Time,Current_State,POP_Status_X,POP_Status_Y,POP_Status_Z,Gain_Override_Status_X,Gain_Override_Status_Y,Gain_Override_Status_Z,Mag_Control
1584763115,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763177,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763234,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763297,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763354,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763417,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763474,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763537,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763594,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763656,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584763714,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584768937,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584768994,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769057,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769114,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769176,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769234,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769296,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769354,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769536,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769594,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584769714,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847425,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847482,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847545,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847602,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847665,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847722,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847785,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847842,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847904,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584847962,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584848024,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584848082,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584848144,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853365,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853423,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853485,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853543,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853605,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853663,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853725,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853782,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853845,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853902,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1584853965,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1584854022,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1584854085,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1584854142,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1584854204,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585016324,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585016382,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585016444,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585016502,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585016564,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
