time,SPAM_Magnitude_X,SPAM_Magnitude_Y,SPAM_Magnitude_Z,SPAM_Off_X_MTQ_X,SPAM_Off_X_MTQ_Y,Dipole_Gain_X
1584763119,100,100,100,0.0,0.0,1.0
1584763182,100,100,100,0.0,0.0,1.0
1584763306,100,100,100,0.0,0.0,1.0
1584763364,100,100,100,0.0,0.0,1.0
1584763426,100,100,100,0.0,0.0,1.0
1584763541,100,100,100,0.0,0.0,1.0
1584763599,100,100,100,0.0,0.0,1.0
1584763661,100,100,100,0.0,0.0,1.0
1584763719,100,100,100,0.0,0.0,1.0
1584763784,100,100,100,0.0,0.0,1.0
1584763852,100,100,100,0.0,0.0,1.0
1584763909,100,100,100,0.0,0.0,1.0
1584767030,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584767087,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584767159,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584767217,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584767289,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584767332,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584768942,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584768999,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769186,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769244,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769359,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769421,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769541,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769666,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769723,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769813,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769856,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584769913,100,100,100,-3.9726027397260273,-11.301369863013699,1.0
1584772790,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584772991,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584774717,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584774774,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584774832,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584774889,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584774961,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584775019,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584775091,100,100,100,2.671232876712329,-4.575342465753424,1.0
1584775134,100,100,100,6.0,-5.013698630136986,1.0
1584775191,100,100,100,6.0,-5.013698630136986,1.0
1584775249,100,100,100,6.0,-5.013698630136986,1.0
1584775321,100,100,100,6.0,-5.013698630136986,1.0
1584775378,100,100,100,6.0,-5.013698630136986,1.0
1584775436,100,100,100,6.0,-5.013698630136986,1.0
1584775493,100,100,100,6.0,-5.013698630136986,1.0
1584775551,100,100,100,6.0,-5.013698630136986,1.0
1584775608,100,100,100,6.0,-5.013698630136986,1.0
1584775738,100,100,100,6.0,-5.013698630136986,1.0
1584779578,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584779635,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584779750,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584779808,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584779880,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780541,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780599,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780656,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780714,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780771,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780829,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780901,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584780958,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781016,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781073,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781131,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781203,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781260,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781318,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781375,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781433,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584781490,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584785343,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584785401,100,100,100,3.9726027397260273,-4.287671232876712,1.0
1584785458,100,100,100,3.9726027397260273,-4.287671232876712,1.0
