time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1584763119,34.66,35.15,34.98,Brownout (BOR),3
1584763244,34.66,35.89,35.48,Brownout (BOR),3
1584763306,34.66,36.13,35.77,Brownout (BOR),3
1584763364,34.66,36.38,36.0,Brownout (BOR),3
1584763426,34.66,36.62,36.21,Brownout (BOR),3
1584763484,34.66,36.87,36.37,Brownout (BOR),3
1584763541,34.66,36.87,36.49,Brownout (BOR),3
1584763599,34.66,36.87,36.61,Brownout (BOR),3
1584763661,34.66,37.12,36.72,Brownout (BOR),3
1584763719,34.66,37.12,36.79,Brownout (BOR),3
1584763784,34.66,37.12,36.85,Brownout (BOR),3
1584767044,29.75,37.12,31.28,Brownout (BOR),3
1584767102,29.75,37.12,31.5,Brownout (BOR),3
1584767174,29.75,37.12,31.69,Brownout (BOR),3
1584767231,29.75,37.12,31.93,Brownout (BOR),3
1584767289,29.75,37.12,32.18,Brownout (BOR),3
1584768835,29.75,37.12,36.3,Brownout (BOR),3
1584768942,29.75,37.12,36.51,Brownout (BOR),3
1584768999,29.75,37.12,36.66,Brownout (BOR),3
1584769066,29.75,37.12,36.79,Brownout (BOR),3
1584769124,29.75,37.12,36.91,Brownout (BOR),3
1584769186,29.75,37.36,37.01,Brownout (BOR),3
1584769244,29.75,37.36,37.13,Brownout (BOR),3
1584769306,36.87,37.36,37.23,Brownout (BOR),3
1584769364,36.87,37.61,37.28,Brownout (BOR),3
1584769421,36.87,37.61,37.33,Brownout (BOR),3
1584769541,36.87,37.61,37.34,Brownout (BOR),3
1584769666,36.87,37.61,37.32,Brownout (BOR),3
1584769723,36.87,37.61,37.26,Brownout (BOR),3
1584769813,36.87,37.61,37.18,Brownout (BOR),3
1584769928,36.62,37.61,36.97,Brownout (BOR),3
1584772991,30.98,37.61,33.34,Brownout (BOR),3
1584774674,30.98,37.61,37.31,Brownout (BOR),3
1584774731,30.98,37.61,37.38,Brownout (BOR),3
1584774789,30.98,37.85,37.43,Brownout (BOR),3
1584774832,30.98,37.85,37.5,Brownout (BOR),3
1584774904,30.98,37.85,37.54,Brownout (BOR),3
1584774976,30.98,37.85,37.57,Brownout (BOR),3
1584775033,30.98,37.85,37.61,Brownout (BOR),3
1584775091,30.98,37.85,37.67,Brownout (BOR),3
1584775148,30.98,38.1,37.67,Brownout (BOR),3
1584775206,30.98,38.1,37.64,Brownout (BOR),3
1584775249,30.98,38.1,37.61,Brownout (BOR),3
1584775335,30.98,38.1,37.55,Brownout (BOR),3
1584775393,30.98,38.1,37.45,Brownout (BOR),3
1584775450,30.98,38.1,37.32,Brownout (BOR),3
1584775508,30.98,38.1,37.21,Brownout (BOR),3
1584775565,30.98,38.1,37.07,Brownout (BOR),3
1584775623,30.98,38.1,36.95,Brownout (BOR),3
1584775738,30.98,38.1,36.63,Brownout (BOR),3
1584779578,30.49,38.1,36.29,Brownout (BOR),3
1584779649,30.49,38.1,36.45,Brownout (BOR),3
1584779822,30.49,38.1,37.16,Brownout (BOR),3
1584779880,30.49,38.1,37.36,Brownout (BOR),3
1584780555,30.49,39.08,38.81,Brownout (BOR),3
1584780613,30.49,39.08,38.8,Brownout (BOR),3
1584780671,30.49,39.08,38.79,Brownout (BOR),3
1584780728,30.49,39.08,38.75,Brownout (BOR),3
