time,CAN_Rx_Error
1584763119,0
1584763182,0
1584763306,0
1584763364,0
1584763426,0
1584763484,0
1584763541,0
1584763599,0
1584763661,0
1584763719,0
1584763784,0
1584763852,0
1584763909,0
1584767030,0
1584767087,0
1584767159,0
1584767217,0
1584767289,0
1584767332,0
1584768835,0
1584768942,0
1584768999,0
1584769186,0
1584769244,0
1584769306,0
1584769364,0
1584769421,0
1584769541,0
1584769666,0
1584769723,0
1584769813,0
1584769913,0
1584772790,0
1584772991,0
1584774717,0
1584774774,0
1584774846,0
1584774889,0
1584774961,0
1584775019,0
1584775091,0
1584775148,0
1584775191,0
1584775263,0
1584775321,0
1584775378,0
1584775450,0
1584775493,0
1584775551,0
1584775608,0
1584775752,0
1584779592,0
1584779635,0
1584779750,0
1584779808,0
1584779894,0
1584780541,0
1584780599,0
1584780656,0
1584780714,0
1584780771,0
1584780829,0
1584780901,0
1584780958,0
1584781016,0
1584781073,0
1584781131,0
1584781203,0
1584781260,0
1584781318,0
1584781390,0
1584781447,0
1584781505,0
1584785343,0
1584785401,0
1584785530,0
1584785703,0
1584786623,0
1584786680,0
1584786724,0
1584786781,0
1584786839,0
1584786911,0
1584786968,0
1584787098,0
1584791354,0
1584791412,0
1584791470,0
1584791527,0
1584803420,0
1584803478,0
1584809058,0
1584809115,0
1584809216,0
1584813502,0
1584813617,0
1584813789,0
1584813919,0
1584816249,0
1584819312,0
1584819427,0
1584819499,0
1584819556,0
1584819599,0
1584819657,0
1584819729,0
1584819801,0
1584819858,0
1584819901,0
1584819959,0
1584822073,0
1584825237,0
1584825309,0
1584825381,0
1584825438,0
1584825496,0
1584825539,0
1584825596,0
1584825668,0
1584825726,0
1584825783,0
1584827524,0
1584827639,0
1584827696,0
1584827768,0
1584827826,0
1584827998,0
1584830227,0
1584830285,0
1584830400,0
1584830472,0
1584830529,0
1584830587,0
1584830659,0
1584830759,0
1584831191,0
1584831263,0
1584831320,0
1584831378,0
1584831435,0
1584831493,0
1584833708,0
1584833837,0
1584835980,0
1584836037,0
1584836109,0
1584836167,0
1584836224,0
1584836282,0
1584836339,0
1584836397,0
1584836469,0
1584836541,0
1584836584,0
1584837116,0
1584837188,0
1584837260,0
1584839604,0
1584839777,0
1584839820,0
1584841632,0
1584841704,0
1584841761,0
1584841819,0
1584841862,0
1584841919,0
1584841977,0
1584842063,0
1584842121,0
1584842178,0
1584842236,0
1584842293,0
1584842351,0
1584842408,0
1584842466,0
1584842523,0
1584842840,0
1584842897,0
1584842941,0
1584843070,0
1584845457,0
1584845544,0
1584845587,0
1584845659,0
1584845716,0
1584845774,0
1584845817,0
1584845889,0
1584847341,0
1584847399,0
1584847435,0
1584847492,0
1584847554,0
1584847607,0
1584847670,0
1584847727,0
1584847914,0
1584847972,0
1584848034,0
1584848091,0
1584848149,0
1584851350,0
1584851422,0
1584851479,0
1584851522,0
1584851594,0
1584851637,0
1584851724,0
1584851767,0
1584853219,0
1584853366,0
1584853432,0
1584853495,0
1584853552,0
1584853615,0
1584853672,0
1584853730,0
1584853787,0
1584853912,0
1584853974,0
1584854032,0
1584854094,0
1584854209,0
1584854275,0
1584854347,0
1584857165,0
1584857424,0
1584857582,0
1584859207,0
1584859265,0
1584859322,0
1584859380,0
1584859438,0
1584859509,0
1584859567,0
1584859639,0
1584859682,0
1584859740,0
1584859797,0
1584859869,0
1584859927,0
1584859984,0
1584860056,0
1584860113,0
1584860157,0
1584860229,0
1584863996,0
1584864068,0
1584864140,0
1584864198,0
1584864255,0
1584864313,0
1584865032,0
1584865104,0
1584865147,0
1584865204,0
1584865262,0
1584865319,0
1584865377,0
1584865449,0
1584865506,0
1584865636,0
1584865693,0
1584865736,0
1584865823,0
1584865880,0
1584865938,0
1584865981,0
1584866039,0
1584869778,0
1584869835,0
1584869893,0
1584869965,0
1584870065,0
1584870123,0
1584870180,0
1584870238,0
1584870310,0
1584870899,0
1584870957,0
1584871029,0
1584871086,0
1584871158,0
1584871216,0
1584871273,0
1584871316,0
1584871388,0
1584875890,0
1584875947,0
1584876005,0
1584876062,0
1584876839,0
1584876896,0
1584876983,0
1584877026,0
1584877083,0
1584877141,0
1584881757,0
1584881829,0
1584887769,0
1584887826,0
1584888056,0
1584893521,0
1584893593,0
1584893650,0
1584903789,0
1584903847,0
1584903919,0
1584903976,0
1584904019,0
1584904206,0
1584906364,0
1584906493,0
1584909743,0
1584909786,0
1584909844,0
1584909901,0
1584909973,0
1584910016,0
1584910088,0
1584912246,0
1584912318,0
1584912375,0
1584914590,0
1584914647,0
1584914705,0
1584914762,0
1584914820,0
1584914877,0
1584914964,0
1584915007,0
1584915596,0
1584915668,0
1584915798,0
1584915841,0
1584915898,0
1584915956,0
1584916143,0
1584917883,0
1584918070,0
1584918128,0
1584918185,0
1584918243,0
1584918300,0
1584918430,0
1584920414,0
1584920457,0
1584920544,0
1584920601,0
1584920659,0
1584920716,0
1584920774,0
1584920831,0
1584920889,0
1584920946,0
1584921004,0
1584921435,0
1584921478,0
1584921550,0
1584921608,0
1584921665,0
1584921723,0
1584924010,0
1584924067,0
1584924240,0
1584924427,0
1584925922,0
1584925980,0
1584926037,0
1584926124,0
1584926167,0
1584926224,0
1584926296,0
1584926354,0
1584926397,0
1584926469,0
1584926541,0
1584926598,0
1584926641,0
1584926699,0
1584926756,0
1584926828,0
1584926900,0
1584926943,0
1584927432,0
1584927504,0
1584929949,0
1584930007,0
1584930064,0
1584930136,0
1584930237,0
1584931804,0
1584931862,0
1584931919,0
1584931991,0
1584932049,0
1584932106,0
1584932164,0
1584932221,0
1584932279,0
1584932336,0
1584932408,0
1584932466,0
1584932523,0
1584932581,0
1584932638,0
1584932782,0
1584935961,0
1584936004,0
1584936076,0
1584936119,0
1584936191,0
1584936320,0
1584937686,0
1584937758,0
1584937816,0
1584937873,0
1584937931,0
1584937988,0
1584938060,0
1584938103,0
1584938161,0
1584938218,0
1584938305,0
1584938348,0
1584938405,0
1584938463,0
1584938520,0
1584938578,0
1584938650,0
1584938707,0
1584941655,0
1584941699,0
1584941756,0
1584941828,0
1584942001,0
1584942058,0
1584943697,0
1584943755,0
1584943813,0
1584943884,0
1584943942,0
1584943999,0
1584944057,0
1584944115,0
1584944172,0
1584944230,0
1584944287,0
1584944345,0
1584944417,0
1584944460,0
1584944532,0
1584944589,0
1584944647,0
1584944704,0
1584948673,0
1584948731,0
1584949464,0
1584949622,0
1584949694,0
1584949752,0
1584949809,0
1584949867,0
1584949925,0
1584949982,0
1584950040,0
1584950111,0
1584950169,0
1584950227,0
1584950298,0
1584950342,0
1584950399,0
1584950471,0
1584954196,0
1584954239,0
1584954296,0
1584954368,0
1584954426,0
1584954483,0
1584954555,0
1584954613,0
1584954670,0
1584954742,0
1584955332,0
1584955389,0
1584955461,0
1584955504,0
1584955576,0
1584955634,0
1584955677,0
1584955749,0
1584955806,0
1584955878,0
1584955921,0
1584955979,0
1584960236,0
1584961329,0
1584961401,0
1584961444,0
1584961559,0
1584961631,0
1584977954,0
1584978356,0
1584982512,0
1584982584,0
1584982642,0
1584982930,0
1584988323,0
1584988395,0
1584988438,0
1584988510,0
1584988567,0
1584988639,0
1584988682,0
1584990854,0
1584990911,0
1584990969,0
1584994104,0
1584994161,0
1584994219,0
1584994276,0
1584994320,0
1584994377,0
1584994449,0
1584994507,0
1584994564,0
1584994622,0
1584996621,0
1584996678,0
1584999008,0
1584999080,0
1584999195,0
1584999238,0
1584999310,0
1584999367,0
1584999425,0
1585000029,0
1585000086,0
1585000144,0
1585000273,0
1585000317,0
1585000388,0
1585000504,0
1585000575,0
1585002488,0
1585002546,0
1585002603,0
1585002661,0
1585004947,0
1585005019,0
1585005077,0
1585005134,0
1585005192,0
1585005249,0
1585005897,0
1585005968,0
1585006026,0
1585006084,0
1585006141,0
1585006199,0
1585006270,0
1585006342,0
1585006501,0
1585008543,0
1585008730,0
1585010340,0
1585010470,0
1585010585,0
1585010657,0
1585010714,0
1585010772,0
1585010844,0
1585010901,0
1585010944,0
1585011002,0
1585011060,0
1585011117,0
1585011189,0
1585011246,0
1585011304,0
1585011836,0
1585014425,0
1585014554,0
1585014597,0
1585014669,0
1585016237,0
1585016334,0
1585016391,0
1585016454,0
1585016511,0
1585016569,0
1585016626,0
1585016689,0
1585016751,0
1585016876,0
1585016933,0
1585020321,0
1585020364,0
1585020436,0
1585020479,0
1585020623,0
1585020666,0
1585020738,0
1585020781,0
1585022104,0
1585022317,0
1585022322,0
1585022394,0
1585022399,0
1585022447,0
1585022509,0
1585022567,0
1585022629,0
1585022687,0
1585022874,0
1585022994,0
1585026189,0
1585026419,0
1585028044,0
1585028102,0
1585028159,0
1585028217,0
1585028289,0
1585028360,0
1585028476,0
1585028519,0
1585028591,0
1585028662,0
1585028706,0
1585028763,0
1585028835,0
1585028893,0
1585028950,0
1585029008,0
1585029080,0
1585032905,0
1585032962,0
1585033984,0
1585034041,0
1585034099,0
1585034156,0
1585034242,0
1585034343,0
1585034401,0
1585034458,0
1585034530,0
1585034602,0
1585034645,0
1585034703,0
1585034760,0
1585034832,0
1585034947,0
1585038600,0
1585038657,0
1585038729,0
1585038801,0
1585038902,0
1585038974,0
1585039017,0
1585039808,0
1585039865,0
1585039937,0
1585039995,0
1585040038,0
1585040124,0
1585040167,0
1585040239,0
1585040412,0
1585044798,0
1585044841,0
1585045747,0
1585050666,0
1585062372,0
1585062430,0
1585062487,0
1585062660,0
1585062717,0
1585062789,0
1585062847,0
1585066989,0
1585067104,0
1585067161,0
1585071317,0
1585072741,0
1585072871,0
1585072928,0
1585073245,0
1585074424,0
1585074496,0
1585074539,0
1585075258,0
1585075344,0
1585075387,0
1585078566,0
1585078623,0
1585078681,0
1585078738,0
1585078810,0
1585078868,0
1585078925,0
1585078983,0
1585079040,0
1585081212,0
1585081269,0
1585081442,0
1585083599,0
1585084448,0
1585084505,0
1585084563,0
1585084620,0
1585084678,0
1585084764,0
1585087080,0
1585087137,0
1585087209,0
1585087267,0
1585089309,0
1585089381,0
1585089424,0
1585089496,0
1585089539,0
1585089596,0
1585089668,0
1585089740,0
1585089798,0
1585090272,0
1585090330,0
1585090387,0
1585090445,0
1585090517,0
1585090560,0
1585090617,0
1585090689,0
1585090747,0
1585090862,0
1585092918,0
1585092962,0
1585093019,0
1585093091,0
1585093163,0
1585093264,0
1585095119,0
1585095176,0
1585095263,0
1585095306,0
1585095378,0
1585095421,0
1585095493,0
1585095565,0
1585095622,0
1585095665,0
1585095723,0
1585096284,0
1585096384,0
1585096442,0
1585096499,0
1585096557,0
1585098786,0
1585098915,0
1585098973,0
1585099030,0
1585099088,0
1585099160,0
1585100713,0
1585100771,0
1585100842,0
1585100886,0
1585100958,0
1585101015,0
1585101073,0
1585101130,0
1585101188,0
1585101245,0
1585101317,0
1585101360,0
1585101418,0
1585104740,0
1585104783,0
1585104855,0
1585104898,0
1585104970,0
1585105042,0
1585105085,0
1585105143,0
1585105200,0
1585105258,0
1585106595,0
1585106638,0
1585106710,0
1585106782,0
1585106839,0
1585106897,0
1585106955,0
1585107012,0
1585107084,0
1585107142,0
1585107185,0
1585107242,0
1585107300,0
1585107429,0
1585110607,0
1585112578,0
1585112649,0
1585112707,0
1585112765,0
1585112822,0
1585112880,0
1585112951,0
1585113009,0
1585113067,0
1585113124,0
1585113182,0
1585113239,0
1585113484,0
1585118459,0
1585118517,0
1585118589,0
1585118646,0
1585118704,0
1585118761,0
1585118819,0
1585118877,0
1585118948,0
1585119020,0
1585119078,0
1585119121,0
1585119193,0
1585119250,0
1585122860,0
1585122903,0
1585122975,0
1585123090,0
1585123162,0
1585123205,0
1585123277,0
1585123320,0
1585123392,0
1585123464,0
1585123507,0
1585123565,0
1585124183,0
1585124226,0
1585124341,0
1585124413,0
1585124456,0
1585124528,0
1585124586,0
1585124643,0
1585124701,0
1585124758,0
1585124816,0
1585124902,0
1585124945,0
1585129044,0
1585129159,0
1585129217,0
1585129260,0
1585129317,0
1585129389,0
1585130123,0
1585130180,0
1585130238,0
1585130281,0
1585130396,0
1585130482,0
1585130641,0
1585135142,0
1585136062,0
1585146848,0
1585146906,0
1585146963,0
1585147035,0
1585147078,0
1585147265,0
1585151580,0
1585151637,0
1585151709,0
1585151767,0
1585151838,0
1585152730,0
1585152788,0
1585152845,0
1585152903,0
1585152960,0
1585153018,0
1585153147,0
1585157361,0
1585157404,0
1585157476,0
1585157534,0
1585157591,0
1585157720,0
1585163042,0
1585163099,0
1585163229,0
1585163300,0
1585163358,0
1585163401,0
1585168205,0
1585168277,0
1585168320,0
1585168866,0
1585168924,0
1585168996,0
1585169039,0
1585169096,0
1585169168,0
1585169240,0
1585169283,0
1585169341,0
1585169398,0
1585169456,0
1585173799,0
1585173842,0
1585173914,0
1585173957,0
1585174029,0
1585174101,0
1585174144,0
1585174202,0
1585174259,0
1585174317,0
1585174676,0
1585174748,0
1585174820,0
1585174863,0
1585174921,0
1585174978,0
1585175050,0
1585175122,0
1585175424,0
1585177323,0
1585177394,0
1585177438,0
1585177524,0
1585177581,0
1585179365,0
1585179422,0
1585179480,0
1585179537,0
1585179609,0
1585179667,0
1585179724,0
1585179782,0
1585179854,0
1585179897,0
1585179969,0
1585180026,0
1585180084,0
1585180156,0
1585180199,0
1585180573,0
1585180630,0
1585180745,0
1585180803,0
1585180860,0
1585180932,0
1585183205,0
1585183276,0
1585183334,0
1585183377,0
1585183507,0
1585183564,0
1585185132,0
1585185189,0
1585185261,0
1585185304,0
1585185376,0
1585185434,0
1585185477,0
1585185549,0
1585185606,0
1585185678,0
1585185721,0
1585185793,0
1585185836,0
1585189202,0
1585189273,0
1585189317,0
1585189403,0
1585189504,0
1585189575,0
1585189633,0
1585189691,0
1585190999,0
1585191071,0
1585191129,0
1585191201,0
1585191244,0
1585191301,0
1585191359,0
1585191416,0
1585191503,0
1585191560,0
1585191603,0
1585191661,0
1585191718,0
1585191963,0
1585194968,0
1585195040,0
1585195155,0
1585195198,0
1585195256,0
1585196895,0
1585197010,0
1585197068,0
1585197140,0
1585197183,0
1585197241,0
1585197312,0
1585197384,0
1585197442,0
1585197499,0
1585197557,0
1585197614,0
1585197672,0
1585197744,0
1585197801,0
1585197859,0
1585202820,0
1585202878,0
1585202950,0
1585203007,0
1585203065,0
1585203122,0
1585203180,0
1585203237,0
1585203309,0
1585203367,0
1585203424,0
1585203482,0
1585203539,0
1585203597,0
1585203669,0
1585203726,0
1585203798,0
1585207523,0
1585207581,0
1585207638,0
1585207696,0
1585207739,0
1585207796,0
1585207868,0
1585207940,0
1585207983,0
1585208041,0
1585208760,0
1585208817,0
1585208889,0
1585208961,0
1585209004,0
1585209062,0
1585209119,0
1585209177,0
1585209249,0
1585209306,0
1585209364,0
1585209436,0
1585213463,0
1585213578,0
1585213750,0
1585214541,0
1585214584,0
1585214656,0
1585214714,0
1585214757,0
1585214886,0
1585214944,0
1585215059,0
1585219560,0
1585225500,0
1585225557,0
1585225687,0
1585231281,0
1585231382,0
1585231439,0
1585231569,0
1585231640,0
1585231698,0
1585231741,0
1585237264,0
1585237321,0
1585237393,0
1585237508,0
1585237566,0
1585237623,0
1585237695,0
1585241722,0
1585241779,0
1585241837,0
1585241952,0
1585242024,0
1585242067,0
1585244238,0
1585244339,0
1585244411,0
1585244483,0
1585247474,0
1585247532,0
1585247589,0
1585247647,0
1585247704,0
1585247776,0
1585247819,0
1585247949,0
1585250063,0
1585250178,0
1585250279,0
1585250351,0
1585252695,0
1585253356,0
