time,X,Y,Z
1584763095,-99,99,99
1584763100,-24,79,14
1584763110,0,0,0
1584763115,0,0,0
1584763119,0,0,0
1584763124,0,0,0
1584763129,0,0,0
1584763134,0,0,0
1584763139,0,0,0
1584763143,0,0,0
1584763148,0,0,0
1584763153,0,0,0
1584763158,0,0,0
1584763163,0,0,0
1584763172,0,0,0
1584763177,0,0,0
1584763182,0,0,0
1584763186,0,0,0
1584763191,0,0,0
1584763196,0,0,0
1584763201,0,0,0
1584763206,0,0,0
1584763210,0,0,0
1584763215,0,0,0
1584763220,0,0,0
1584763230,0,0,0
1584763234,0,0,0
1584763239,0,0,0
1584763244,0,0,0
1584763249,0,0,0
1584763254,0,0,0
1584763258,0,0,0
1584763263,0,0,0
1584763268,0,0,0
1584763273,0,0,0
1584763278,0,0,0
1584763282,0,0,0
1584763292,0,0,0
1584763297,0,0,0
1584763302,0,0,0
1584763306,0,0,0
1584763311,0,0,0
1584763316,0,0,0
1584763321,0,0,0
1584763326,0,0,0
1584763330,0,0,0
1584763335,0,0,0
1584763340,0,0,0
1584763350,0,0,0
1584763354,0,0,0
1584763359,0,0,0
1584763364,0,0,0
1584763369,0,0,0
1584763373,0,0,0
1584763378,0,0,0
1584763383,0,0,0
1584763388,0,0,0
1584763393,0,0,0
1584763397,0,0,0
1584763402,0,0,0
1584763412,0,0,0
1584763417,0,0,0
1584763421,0,0,0
1584763426,0,0,0
1584763431,0,0,0
1584763436,0,0,0
1584763441,0,0,0
1584763445,0,0,0
1584763450,0,0,0
1584763455,0,0,0
1584763460,0,0,0
1584763469,0,0,0
1584763474,0,0,0
1584763479,0,0,0
1584763484,0,0,0
1584763489,0,0,0
1584763493,0,0,0
1584763498,0,0,0
1584763503,0,0,0
1584763508,0,0,0
1584763513,0,0,0
1584763517,0,0,0
1584763522,0,0,0
1584763532,0,0,0
1584763537,0,0,0
1584763541,0,0,0
1584763546,0,0,0
1584763551,0,0,0
1584763556,0,0,0
1584763560,0,0,0
1584763565,0,0,0
1584763570,0,0,0
1584763575,0,0,0
1584763580,0,0,0
1584763589,0,0,0
1584763594,0,0,0
1584763599,0,0,0
1584763604,0,0,0
1584763608,0,0,0
1584763613,0,0,0
1584763618,0,0,0
1584763623,0,0,0
1584763632,0,0,0
1584763637,0,0,0
1584763642,0,0,0
1584763652,0,0,0
1584763656,0,0,0
1584763661,0,0,0
1584763666,0,0,0
1584763671,0,0,0
1584763676,0,0,0
1584763680,0,0,0
1584763685,0,0,0
1584763690,0,0,0
1584763695,0,0,0
1584763700,0,0,0
1584763709,0,0,0
1584763714,0,0,0
1584763719,0,0,0
1584763724,0,0,0
1584763728,0,0,0
1584763733,0,0,0
1584763738,0,0,0
1584763743,0,0,0
1584763747,0,0,0
1584763752,0,0,0
1584763757,0,0,0
1584763762,0,0,0
1584763771,0,0,0
1584768835,0,0,0
1584768845,0,0,0
1584768932,0,0,0
1584768937,0,0,0
1584768942,0,0,0
1584768946,0,0,0
1584768951,0,0,0
1584768956,0,0,0
1584768961,0,0,0
1584768966,0,0,0
1584768970,0,0,0
1584768975,0,0,0
1584768980,0,0,0
1584768989,0,0,0
1584768994,0,0,0
1584768999,0,0,0
1584769004,0,0,0
1584769009,0,0,0
1584769013,0,0,0
1584769018,0,0,0
1584769023,0,0,0
1584769028,0,0,0
1584769033,0,0,0
1584769037,0,0,0
1584769042,0,0,0
1584769052,0,0,0
1584769057,0,0,0
1584769061,0,0,0
1584769066,0,0,0
1584769071,0,0,0
1584769076,0,0,0
1584769081,0,0,0
1584769085,0,0,0
1584769090,0,0,0
1584769095,0,0,0
1584769100,0,0,0
1584769109,0,0,0
1584769114,0,0,0
1584769119,0,0,0
1584769124,0,0,0
1584769129,0,0,0
1584769133,0,0,0
1584769138,0,0,0
1584769143,0,0,0
1584769148,0,0,0
1584769153,0,0,0
1584769157,0,0,0
1584769162,0,0,0
1584769172,0,0,0
1584769176,0,0,0
1584769181,0,0,0
1584769186,0,0,0
1584769191,0,0,0
1584769196,0,0,0
1584769200,0,0,0
1584769205,0,0,0
1584769210,0,0,0
1584769215,0,0,0
1584769220,0,0,0
1584769229,0,0,0
1584769234,0,0,0
1584769239,0,0,0
1584769244,0,0,0
1584769263,0,0,0
1584769268,0,0,0
1584769272,0,0,0
1584769277,0,0,0
1584769282,0,0,0
1584769292,0,0,0
1584769296,0,0,0
1584769301,0,0,0
1584769306,0,0,0
1584769311,0,0,0
1584769316,0,0,0
1584769320,0,0,0
1584769325,0,0,0
1584769330,0,0,0
1584769335,0,0,0
1584769340,0,0,0
1584769349,0,0,0
1584769354,0,0,0
1584769359,0,0,0
1584769364,0,0,0
1584769368,0,0,0
1584769373,0,0,0
1584769378,0,0,0
1584769383,0,0,0
1584769387,0,0,0
1584769392,0,0,0
1584769397,0,0,0
1584769402,0,0,0
1584769421,0,0,0
1584769426,0,0,0
1584769431,0,0,0
1584769435,0,0,0
1584769440,0,0,0
1584769445,0,0,0
1584769450,0,0,0
1584769455,0,0,0
1584769459,0,0,0
1584769488,0,0,0
1584769493,0,0,0
1584769503,0,0,0
1584769507,0,0,0
1584769512,0,0,0
1584769522,0,0,0
1584769531,0,0,0
1584769536,0,0,0
1584769541,0,0,0
1584769546,0,0,0
1584769551,0,0,0
1584769555,0,0,0
1584769560,0,0,0
1584769570,0,0,0
1584769574,0,0,0
1584769579,0,0,0
1584769589,0,0,0
1584769594,0,0,0
1584769603,0,0,0
1584769608,0,0,0
1584769613,0,0,0
1584769618,0,0,0
1584769622,0,0,0
1584769627,0,0,0
1584769632,0,0,0
1584769637,0,0,0
1584769642,0,0,0
1584769651,0,0,0
1584769661,0,0,0
1584769666,0,0,0
1584769670,0,0,0
1584769680,0,0,0
1584769690,0,0,0
1584769699,0,0,0
1584769709,0,0,0
1584769714,0,0,0
1584769718,0,0,0
1584769723,0,0,0
1584769728,0,0,0
1584769733,0,0,0
1584847411,0,0,0
1584847421,0,0,0
1584847425,0,0,0
1584847430,0,0,0
1584847435,0,0,0
1584847439,0,0,0
1584847444,0,0,0
1584847449,0,0,0
1584847454,0,0,0
1584847459,0,0,0
1584847463,0,0,0
1584847468,0,0,0
1584847478,0,0,0
1584847482,0,0,0
1584847487,0,0,0
1584847492,0,0,0
1584847497,0,0,0
1584847502,0,0,0
1584847506,0,0,0
1584847511,0,0,0
1584847516,0,0,0
1584847521,0,0,0
1584847526,0,0,0
1584847530,0,0,0
1584847540,0,0,0
1584847545,0,0,0
1584847550,0,0,0
1584847554,0,0,0
1584847559,0,0,0
1584847564,0,0,0
1584847569,0,0,0
1584847574,0,0,0
1584847578,0,0,0
1584847583,0,0,0
1584847588,0,0,0
1584847598,0,0,0
1584847602,0,0,0
1584847607,0,0,0
1584847612,0,0,0
1584847636,0,0,0
1584847641,0,0,0
1584847646,0,0,0
1584847650,0,0,0
1584847660,0,0,0
1584847665,0,0,0
1584847670,0,0,0
1584847674,0,0,0
1584847679,0,0,0
1584847684,0,0,0
1584847689,0,0,0
1584847693,0,0,0
1584847698,0,0,0
1584847703,0,0,0
1584847708,0,0,0
1584847717,0,0,0
1584847722,0,0,0
1584847727,0,0,0
1584847732,0,0,0
1584847737,0,0,0
1584847741,0,0,0
1584847746,0,0,0
1584847751,0,0,0
1584847756,0,0,0
1584847761,0,0,0
1584847765,0,0,0
1584847770,0,0,0
1584847780,0,0,0
1584847785,0,0,0
1584847789,0,0,0
1584847794,0,0,0
1584847799,0,0,0
1584847804,0,0,0
1584847809,0,0,0
1584847813,0,0,0
1584847818,0,0,0
1584847823,0,0,0
1584847828,0,0,0
1584847837,0,0,0
1584847842,0,0,0
1584847852,0,0,0
1584847856,0,0,0
1584847861,0,0,0
1584847866,0,0,0
1584847871,0,0,0
1584847876,0,0,0
1584847880,0,0,0
1584847885,0,0,0
1584847890,0,0,0
1584847900,0,0,0
1584847904,0,0,0
1584847909,0,0,0
1584847914,0,0,0
1584847919,0,0,0
1584847924,0,0,0
1584847928,0,0,0
1584847933,0,0,0
1584847938,0,0,0
1584847943,0,0,0
1584847948,0,0,0
1584847957,0,0,0
1584847962,0,0,0
1584847967,0,0,0
1584847972,0,0,0
1584847976,0,0,0
1584847981,0,0,0
1584847986,0,0,0
1584847991,0,0,0
1584847996,0,0,0
1584848000,0,0,0
1584848005,0,0,0
1584848010,0,0,0
1584848020,0,0,0
1584848024,0,0,0
1584848029,0,0,0
1584848034,0,0,0
1584848039,0,0,0
1584848043,0,0,0
1584848048,0,0,0
1584848053,0,0,0
1584848058,0,0,0
1584848063,0,0,0
1584848067,0,0,0
1584848077,0,0,0
1584848082,0,0,0
1584848087,0,0,0
1584848091,0,0,0
1584848096,0,0,0
1584848101,0,0,0
1584848106,0,0,0
1584848111,0,0,0
1584848120,0,0,0
1584848125,0,0,0
1584848130,0,0,0
1584848139,0,0,0
1584848144,0,0,0
1584848149,0,0,0
1584848154,0,0,0
1584848159,0,0,0
1584848163,0,0,0
1584848168,0,0,0
1584848173,0,0,0
1584848183,0,0,0
1584853349,0,0,0
1584853365,0,0,0
1584853366,0,0,0
1584853370,0,0,0
1584853375,0,0,0
1584853380,0,0,0
1584853384,0,0,0
1584853389,0,0,0
1584853394,0,0,0
1584853399,0,0,0
1584853404,0,0,0
1584853423,0,0,0
1584853432,0,0,0
1584853437,0,0,0
1584853442,0,0,0
1584853447,0,0,0
1584853452,0,0,0
1584853456,0,0,0
1584853461,0,0,0
1584853466,0,0,0
1584853471,0,0,0
1584853480,0,0,0
1584853485,0,0,0
1584853490,0,0,0
1584853495,0,0,0
1584853499,0,0,0
1584853504,0,0,0
1584853509,0,0,0
1584853538,0,0,0
1584853543,0,0,0
1584853547,0,0,0
1584853552,0,0,0
1584853557,0,0,0
1584853562,0,0,0
1584853567,0,0,0
1584853571,0,0,0
1584853576,0,0,0
1584853581,0,0,0
1584853586,0,0,0
1584853591,0,0,0
1584853600,0,0,0
1584853605,0,0,0
1584853610,0,0,0
1584853615,0,0,0
1584853619,0,0,0
1584853624,0,0,0
1584853629,0,0,0
1584853634,0,0,0
1584853639,0,0,0
1584853643,0,0,0
1584853648,0,0,0
1584853658,0,0,0
1584853663,0,0,0
1584853667,0,0,0
1584853672,0,0,0
1584853677,0,0,0
1584853682,0,0,0
1584853687,0,0,0
1584853691,0,0,0
1584853696,0,0,0
1584853701,0,0,0
1584853706,0,0,0
1584853710,0,0,0
1584853720,0,0,0
1584853725,0,0,0
1584853730,0,0,0
1584853734,0,0,0
1584853739,0,0,0
1584853744,0,0,0
1584853749,0,0,0
1584853754,0,0,0
1584853758,0,0,0
1584853763,0,0,0
1584853768,0,0,0
1584853778,0,0,0
1584853782,0,0,0
1584853787,0,0,0
1584853792,0,0,0
1584853797,0,0,0
1584853802,0,0,0
1584853806,0,0,0
1584853811,0,0,0
1584853816,0,0,0
1584853821,0,0,0
1584853826,0,0,0
1584853830,0,0,0
1584853840,0,0,0
1584853845,0,0,0
1584853850,0,0,0
1584853854,0,0,0
1584853859,0,0,0
1584853864,0,0,0
1584853869,0,0,0
1584853874,0,0,0
1584853878,0,0,0
1584853883,0,0,0
1584853888,0,0,0
1584853897,0,0,0
1584853902,0,0,0
1584853907,0,0,0
1584853912,0,0,0
1584853917,0,0,0
1584853921,0,0,0
1584853926,100,0,0
