time,PPT_State,PPT_Current_Min,PPT_Current_Max,PPT_Current_Avg
1581192560,Off_Initial,-1.25,15.998046875,-0.0029296875
1581192618,Off_Initial,-1.25,15.998046875,-0.0029296875
1581192680,Off_Initial,-1.25,15.998046875,-0.0029296875
1581192800,Off_Initial,-1.25,15.998046875,-0.0029296875
1581192858,Off_Initial,-1.25,15.998046875,-0.0029296875
1581192920,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210201,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210258,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210321,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210345,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210378,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210441,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210498,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210560,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210618,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210680,Off_Initial,-1.25,15.998046875,-0.0029296875
1581210738,Off_Initial,-1.25,15.998046875,-0.0029296875
1581288800,Off_Initial,-1.25,15.998046875,-0.0029296875
1581457641,Off_Initial,-1.25,15.998046875,-0.0029296875
1581457699,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536360,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536418,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536480,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536537,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536600,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536657,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536720,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536777,Off_Initial,-1.25,15.998046875,-0.0029296875
1581536840,Off_Initial,-1.25,15.998046875,-0.0029296875
1581626601,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626659,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626721,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626778,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626841,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626898,Off_Initial,-16.0,15.998046875,-0.0029296875
1581626961,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627018,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627081,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627138,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627200,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627258,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627320,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627378,Off_Initial,-16.0,15.998046875,-0.0029296875
1581627440,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789622,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789684,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789742,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789804,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789862,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789924,Off_Initial,-16.0,15.998046875,-0.0029296875
1581789982,Off_Initial,-16.0,15.998046875,-0.0029296875
1581790044,Off_Initial,-16.0,15.998046875,-0.0029296875
1581790101,Off_Initial,-16.0,15.998046875,-0.0029296875
1581790164,Off_Initial,-16.0,15.998046875,-0.0029296875
1581891801,Off_Initial,-16.0,15.998046875,-0.0029296875
1581891863,Off_Initial,-16.0,15.998046875,-0.0029296875
1581891921,Off_Initial,-16.0,15.998046875,-0.0029296875
1581891983,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892041,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892103,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892160,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892223,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892280,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892343,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892400,Off_Initial,-16.0,15.998046875,-0.0029296875
1581892462,Off_Initial,-16.0,15.998046875,-0.0029296875
1582223663,Off_Initial,-1.234375,1.23046875,-0.0029296875
1582223721,Off_Initial,-1.234375,1.23046875,-0.0029296875
1582223779,Off_Initial,-1.234375,1.23046875,-0.0029296875
1582223783,Off_Initial,-1.234375,1.23046875,-0.0029296875
1582223841,Off_Initial,-1.234375,1.23046875,-0.0029296875
1582223903,Off_Initial,-1.234375,1.23046875,-0.0029296875
