time,COM1_Voltage_Min,COM1_Voltage_Max,COM1_Voltage_Avg
1581192560,6.46,6.996,6.728
1581192618,6.46,6.996,6.736
1581192680,6.46,6.996,6.788
1581192800,6.46,6.996,6.796
1581192858,6.46,6.996,6.748
1581192920,6.46,6.996,6.752
1581210201,6.46,6.996,6.748
1581210258,6.46,6.996,6.72
1581210321,6.46,6.996,6.712
1581210345,6.46,6.996,6.716
1581210378,6.46,6.996,6.772
1581210441,6.46,6.996,6.764
1581210498,6.46,6.996,6.784
1581210560,6.46,6.996,6.784
1581210618,6.46,6.996,6.76
1581210680,6.46,6.996,6.752
1581210738,6.46,6.996,6.756
1581288800,6.46,7.164000000000001,6.744
1581457641,6.46,7.164000000000001,6.74
1581457699,6.46,7.164000000000001,6.796
1581536360,6.46,7.164000000000001,6.724
1581536418,6.46,7.164000000000001,6.728
1581536480,6.46,7.164000000000001,6.796
1581536537,6.46,7.164000000000001,6.868
1581536600,6.46,7.164000000000001,6.94
1581536657,6.46,7.164000000000001,6.956
1581536720,6.46,7.164000000000001,6.968
1581536777,6.46,7.164000000000001,6.864
1581536840,6.46,7.164000000000001,6.784
1581626601,6.46,7.164000000000001,6.712
1581626659,6.46,7.164000000000001,6.688
1581626721,6.46,7.164000000000001,6.724
1581626778,6.46,7.164000000000001,6.736
1581626841,6.46,7.164000000000001,6.776
1581626898,6.46,7.164000000000001,6.776
1581626961,6.46,7.164000000000001,6.82
1581627018,6.46,7.164000000000001,6.824
1581627081,6.46,7.164000000000001,6.752
1581627138,6.46,7.164000000000001,6.736
1581627200,6.46,7.164000000000001,6.76
1581627258,6.46,7.164000000000001,6.768
1581627320,6.46,7.164000000000001,6.748
1581627378,6.46,7.164000000000001,6.732
1581627440,6.46,7.164000000000001,6.816
1581789622,6.46,7.164000000000001,6.828
1581789684,6.46,7.164000000000001,6.86
1581789742,6.46,7.164000000000001,6.788
1581789804,6.46,7.164000000000001,6.74
1581789862,6.46,7.164000000000001,6.736
1581789924,6.46,7.164000000000001,6.74
1581789982,6.46,7.164000000000001,6.74
1581790044,6.46,7.164000000000001,6.832
1581790101,6.46,7.164000000000001,6.932
1581790164,6.46,7.164000000000001,6.972
1581891801,6.46,7.164000000000001,6.76
1581891863,6.46,7.164000000000001,6.78
1581891921,6.46,7.164000000000001,6.832
1581891983,6.46,7.164000000000001,6.868
1581892041,6.46,7.164000000000001,6.924
1581892103,6.46,7.164000000000001,6.864
1581892160,6.46,7.164000000000001,6.784
1581892223,6.46,7.164000000000001,6.732
1581892280,6.46,7.164000000000001,6.756
1581892343,6.46,7.164000000000001,6.804
1581892405,6.46,7.164000000000001,6.8
1581892462,6.46,7.164000000000001,6.808
1582223663,6.564,7.032,6.732
1582223721,6.564,7.032,6.66
1582223779,6.564,7.032,6.644
1582223783,6.564,7.032,6.640000000000001
1582223788,6.564,7.032,6.640000000000001
1582223841,6.564,7.032,6.6240000000000006
1582223903,6.564,7.032,6.632000000000001
1582223961,6.564,7.032,6.66
1582224023,6.564,7.032,6.684
1582224081,6.564,7.032,6.692
1582224143,6.564,7.032,6.688
1582224200,6.564,7.032,6.696
1582224263,6.564,7.032,6.708
1582224320,6.564,7.032,6.712
1582224383,6.564,7.032,6.72
1582224440,6.564,7.032,6.732
1582224502,6.564,7.032,6.772
1582229483,6.5600000000000005,7.032,6.948
1582229598,6.5600000000000005,7.032,6.868
1582229603,6.5600000000000005,7.032,6.864
1582229661,6.5600000000000005,7.032,6.824
1582229723,6.5600000000000005,7.032,6.808
1582229781,6.5600000000000005,7.032,6.856
1582229843,6.5600000000000005,7.032,6.864
1582229900,6.5600000000000005,7.032,6.788
1582229963,6.5600000000000005,7.032,6.812
1582230020,6.5600000000000005,7.032,6.84
1582230083,6.5600000000000005,7.032,6.848
1582230140,6.5600000000000005,7.032,6.848
1582230202,6.5600000000000005,7.032,6.788
1582230265,6.5600000000000005,7.032,6.748
1582230322,6.5600000000000005,7.032,6.752
1582235365,6.5600000000000005,7.032,6.836
1582235422,6.5600000000000005,7.032,6.832
1582235484,6.5600000000000005,7.032,6.74
1582235542,6.5600000000000005,7.032,6.7
1582235604,6.5600000000000005,7.032,6.668
1582235662,6.5600000000000005,7.032,6.7
1582235724,6.5600000000000005,7.032,6.756
1582235782,6.5600000000000005,7.032,6.844
1582235844,6.5600000000000005,7.032,6.872
1582235902,6.5600000000000005,7.032,6.908
1582235964,6.5600000000000005,7.032,6.952
1582236021,6.5600000000000005,7.032,6.94
1582236084,6.5600000000000005,7.032,6.804
1582308084,6.5440000000000005,7.032,6.604
1582308141,6.5440000000000005,7.032,6.632000000000001
1582308204,6.5440000000000005,7.032,6.664
1582308261,6.5440000000000005,7.032,6.636
1582308324,6.5280000000000005,7.032,6.548
1582308381,6.524,7.032,6.5280000000000005
1582308443,6.516,7.032,6.524
1582308501,6.508,7.032,6.516
1582308683,6.42,7.032,6.436
1582308741,6.416,7.032,6.424
1582308803,6.416,7.032,6.44
1582308861,6.416,7.032,6.456
1582319962,6.416,7.032,6.704
1582320025,6.416,7.032,6.7
1582320082,6.684,6.708,6.696
1582320145,6.684,6.72,6.7
1582320202,6.684,6.72,6.7
1582320264,6.668,6.72,6.676
1582320322,6.668,6.72,6.68
1582320384,6.664,6.72,6.676
1582320442,6.664,6.72,6.696
1582320504,6.664,6.72,6.696
1582320562,6.656000000000001,6.72,6.668
1582488773,6.58,6.96,6.7
1582488893,6.58,6.96,6.5920000000000005
1582488955,6.572,6.96,6.58
1582489022,6.572,6.96,6.5760000000000005
1582489075,6.548,6.96,6.564
1582489195,6.492,6.96,6.5120000000000005
1582489253,6.476,6.96,6.488
1582916934,6.476,7.0,6.716
1582916995,6.476,7.0,6.72
1582917053,6.476,7.0,6.724
1582917124,6.476,7.0,6.708
1582917172,6.476,7.0,6.712
1582983836,6.476,7.0,6.648000000000001
1582983894,6.476,7.0,6.668
1582983956,6.476,7.0,6.672
1582984014,6.476,7.0,6.672
1582984076,6.476,7.0,6.676
1582984134,6.476,7.0,6.676
