time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1580517498,7.25,18.0,17.7,Brownout (BOR),32
1580517685,7.25,18.25,17.81,Brownout (BOR),32
1580517742,7.25,18.25,17.7,Brownout (BOR),32
1580517800,7.25,18.25,17.57,Brownout (BOR),32
1580522962,7.25,25.0,24.82,Brownout (BOR),32
1580523077,7.25,25.25,25.08,Brownout (BOR),32
1580523149,7.25,25.5,25.32,Brownout (BOR),32
1580523207,7.25,25.5,25.4,Brownout (BOR),32
1580523264,7.25,25.5,25.28,Brownout (BOR),32
1580523322,7.25,25.5,25.2,Brownout (BOR),32
1580523379,7.25,25.5,25.05,Brownout (BOR),32
1580523451,7.25,25.5,24.82,Brownout (BOR),32
1580523509,7.25,25.5,24.64,Brownout (BOR),32
1580523566,7.25,25.5,24.45,Brownout (BOR),32
1580523624,7.25,25.5,24.17,Brownout (BOR),32
1580523681,7.25,25.5,23.93,Brownout (BOR),32
1580528542,7.25,27.75,27.41,Brownout (BOR),32
1580528600,7.25,27.75,27.46,Brownout (BOR),32
1580528657,7.25,28.0,27.66,Brownout (BOR),32
1580528729,7.25,28.0,27.77,Brownout (BOR),32
1580528801,7.25,28.0,27.79,Brownout (BOR),32
1580528858,7.25,28.0,27.74,Brownout (BOR),32
1580528916,7.25,28.0,27.64,Brownout (BOR),32
1580529045,7.25,28.0,27.32,Brownout (BOR),32
1580529103,7.25,28.0,27.15,Brownout (BOR),32
1580529160,7.25,28.0,26.93,Brownout (BOR),32
1580529218,7.25,28.0,26.73,Brownout (BOR),32
1580529276,7.25,28.0,26.49,Brownout (BOR),32
1580529333,7.25,28.0,26.24,Brownout (BOR),32
1580529405,7.25,28.0,25.98,Brownout (BOR),32
1580529578,7.25,28.0,25.18,Brownout (BOR),32
1580529635,7.25,28.0,24.9,Brownout (BOR),32
1580534625,7.25,28.75,27.86,Brownout (BOR),32
1580534683,7.25,28.75,27.56,Brownout (BOR),32
1580534798,7.25,28.75,26.99,Brownout (BOR),32
1580534913,7.25,28.75,26.38,Brownout (BOR),32
1580534985,7.25,28.75,26.06,Brownout (BOR),32
1580539357,7.25,28.75,28.33,Brownout (BOR),32
1580539472,7.25,28.75,28.59,Brownout (BOR),32
1580539543,7.25,29.0,28.7,Brownout (BOR),32
1580544404,7.25,30.0,28.75,Brownout (BOR),32
1580544462,7.25,30.0,29.01,Brownout (BOR),32
1580544519,7.25,30.0,29.18,Brownout (BOR),32
1580544577,7.25,30.0,29.35,Brownout (BOR),32
1580544634,7.25,30.0,29.53,Brownout (BOR),32
1580555851,7.25,33.5,28.58,Brownout (BOR),32
1580555923,7.25,33.5,28.76,Brownout (BOR),32
1580557002,7.25,33.5,31.13,Brownout (BOR),32
1580557117,7.25,33.5,30.7,Brownout (BOR),32
1580557174,7.25,33.5,30.42,Brownout (BOR),32
1580557232,7.25,33.5,30.13,Brownout (BOR),32
1580557304,7.25,33.5,29.84,Brownout (BOR),32
1580557361,7.25,33.5,29.47,Brownout (BOR),32
1580557476,7.25,33.5,28.84,Brownout (BOR),32
1580557534,7.25,33.5,28.51,Brownout (BOR),32
1580561733,7.25,33.5,29.38,Brownout (BOR),32
1580561863,7.25,33.5,29.71,Brownout (BOR),32
1580561920,7.25,33.5,29.84,Brownout (BOR),32
1580561978,7.25,33.5,29.78,Brownout (BOR),32
1580562941,7.25,33.5,29.8,Brownout (BOR),32
1580562999,7.25,33.5,29.55,Brownout (BOR),32
1580563056,7.25,33.5,29.29,Brownout (BOR),32
1580563114,7.25,33.5,29.0,Brownout (BOR),32
1580563171,7.25,33.5,28.72,Brownout (BOR),32
1580563243,7.25,33.5,28.4,Brownout (BOR),32
1580563301,7.25,33.5,28.15,Brownout (BOR),32
1580563358,7.25,33.5,27.82,Brownout (BOR),32
1580567442,7.25,33.5,29.39,Brownout (BOR),32
1580567615,7.25,33.5,29.63,Brownout (BOR),32
1580567672,7.25,33.5,29.75,Brownout (BOR),32
1580567744,7.25,33.5,29.76,Brownout (BOR),32
1580567802,7.25,33.5,29.86,Brownout (BOR),32
1580567917,7.25,33.5,30.03,Brownout (BOR),32
1580568032,7.25,33.5,30.2,Brownout (BOR),32
1580568104,7.25,33.5,30.25,Brownout (BOR),32
1580568823,7.25,33.5,28.25,Brownout (BOR),32
1580568880,7.25,33.5,27.97,Brownout (BOR),32
1580568938,7.25,33.5,27.61,Brownout (BOR),32
1580569053,7.25,33.5,27.03,Brownout (BOR),32
1580573324,7.25,33.5,29.64,Brownout (BOR),32
1580573497,7.25,33.5,29.91,Brownout (BOR),32
1580573612,7.25,33.5,30.14,Brownout (BOR),32
1580573684,7.25,33.5,30.01,Brownout (BOR),32
1580574043,7.25,33.5,29.73,Brownout (BOR),32
1580574101,7.25,33.5,29.52,Brownout (BOR),32
1580574575,7.25,33.5,27.13,Brownout (BOR),32
1580578185,7.25,33.5,28.44,Brownout (BOR),32
1580578242,7.25,33.5,28.67,Brownout (BOR),32
1580578300,7.25,33.5,28.89,Brownout (BOR),32
1580578357,7.25,33.5,29.08,Brownout (BOR),32
1580578415,7.25,33.5,29.24,Brownout (BOR),32
1580578472,7.25,33.5,29.41,Brownout (BOR),32
1580578602,7.25,33.5,29.76,Brownout (BOR),32
1580579436,7.25,33.5,32.03,Brownout (BOR),32
1580579494,7.25,33.5,32.07,Brownout (BOR),32
1580579551,7.25,33.5,32.25,Brownout (BOR),32
1580579623,7.25,33.5,32.16,Brownout (BOR),32
1580579738,7.25,33.5,31.76,Brownout (BOR),32
1580579853,7.25,33.5,31.25,Brownout (BOR),32
1580579925,7.25,33.5,31.05,Brownout (BOR),32
1580580213,7.25,33.5,29.65,Brownout (BOR),32
1580580285,7.25,33.5,29.3,Brownout (BOR),32
1580580342,7.25,33.5,29.08,Brownout (BOR),32
1580580457,7.25,33.5,28.42,Brownout (BOR),32
1580583880,7.25,33.5,30.49,Brownout (BOR),32
1580583995,7.25,33.5,30.69,Brownout (BOR),32
1580584124,7.25,33.5,31.09,Brownout (BOR),32
1580584182,7.25,33.5,31.35,Brownout (BOR),32
1580584239,7.25,33.5,31.63,Brownout (BOR),32
1580584297,7.25,33.5,31.95,Brownout (BOR),32
1580584354,7.25,33.5,32.15,Brownout (BOR),32
1580584412,7.25,33.5,32.25,Brownout (BOR),32
1580584484,7.25,33.5,32.49,Brownout (BOR),32
1580584541,7.25,33.5,32.71,Brownout (BOR),32
1580585016,7.25,34.25,34.06,Brownout (BOR),32
1580585073,7.25,34.25,34.17,Brownout (BOR),32
1580585145,7.25,34.5,34.25,Brownout (BOR),32
1580585203,7.25,34.5,34.27,Brownout (BOR),32
1580585260,7.25,34.5,34.17,Brownout (BOR),32
1580585318,7.25,34.5,34.03,Brownout (BOR),32
1580585375,7.25,34.5,33.79,Brownout (BOR),32
1580585505,7.25,34.5,33.34,Brownout (BOR),32
1580585562,7.25,34.5,33.16,Brownout (BOR),32
1580585620,7.25,34.5,32.91,Brownout (BOR),32
1580585677,7.25,34.5,32.59,Brownout (BOR),32
1580589761,7.25,34.5,30.35,Brownout (BOR),32
1580589819,7.25,34.5,30.56,Brownout (BOR),32
1580589877,7.25,34.5,30.77,Brownout (BOR),32
1580589934,7.25,34.5,30.95,Brownout (BOR),32
1580589992,7.25,34.5,31.02,Brownout (BOR),32
1580590064,7.25,34.5,31.22,Brownout (BOR),32
1580590121,7.25,34.5,31.42,Brownout (BOR),32
1580590179,7.25,34.5,31.49,Brownout (BOR),32
1580591085,7.25,34.5,30.9,Brownout (BOR),32
1580591200,7.25,34.5,30.24,Brownout (BOR),32
1580591315,7.25,34.5,29.7,Brownout (BOR),32
1580595341,7.25,34.5,28.28,Brownout (BOR),32
1580595399,7.25,34.5,28.42,Brownout (BOR),32
1580595456,7.25,34.5,28.59,Brownout (BOR),32
1580595514,7.25,34.5,28.88,Brownout (BOR),32
1580595571,7.25,34.5,29.18,Brownout (BOR),32
1580595643,7.25,34.5,29.25,Brownout (BOR),32
1580595758,7.25,34.5,29.65,Brownout (BOR),32
1580595816,7.25,34.5,29.92,Brownout (BOR),32
1580595873,7.25,34.5,30.01,Brownout (BOR),32
1580595945,7.25,34.5,30.0,Brownout (BOR),32
1580596003,7.25,34.5,30.12,Brownout (BOR),32
1580597915,7.25,34.5,23.19,Brownout (BOR),32
1580598102,7.25,34.5,22.23,Brownout (BOR),32
1580601396,7.25,34.5,29.7,Brownout (BOR),32
1580601453,7.25,34.5,29.7,Brownout (BOR),32
1580601525,7.25,34.5,29.85,Brownout (BOR),32
1580601885,7.25,34.5,30.56,Brownout (BOR),32
1580602000,7.25,34.5,30.76,Brownout (BOR),32
1580602244,7.25,34.5,30.52,Brownout (BOR),32
1580602302,7.25,34.5,30.31,Brownout (BOR),32
1580605178,7.25,34.5,23.36,Brownout (BOR),32
1580605422,7.25,34.5,24.6,Brownout (BOR),32
1580605480,7.25,34.5,24.97,Brownout (BOR),32
1580605537,7.25,34.5,25.28,Brownout (BOR),32
1580607105,7.25,34.5,30.25,Brownout (BOR),32
1580607162,7.25,34.5,30.4,Brownout (BOR),32
1580607220,7.25,34.5,30.52,Brownout (BOR),32
1580607277,7.25,34.5,30.63,Brownout (BOR),32
1580607335,7.25,34.5,30.74,Brownout (BOR),32
1580607392,7.25,34.5,30.85,Brownout (BOR),32
1580607464,7.25,34.5,30.84,Brownout (BOR),32
1580607522,7.25,34.5,30.83,Brownout (BOR),32
1580607579,7.25,34.5,30.99,Brownout (BOR),32
1580607637,7.25,34.5,31.18,Brownout (BOR),32
1580607694,7.25,34.5,31.13,Brownout (BOR),32
1580607752,7.25,34.5,31.05,Brownout (BOR),32
1580607824,7.25,34.5,30.92,Brownout (BOR),32
1580607881,7.25,34.5,30.76,Brownout (BOR),32
1580607939,7.25,34.5,30.46,Brownout (BOR),32
1580607996,7.25,34.5,30.25,Brownout (BOR),32
1580608054,7.25,34.5,29.99,Brownout (BOR),32
1580608111,7.25,34.5,29.7,Brownout (BOR),32
1580608183,7.25,34.5,29.39,Brownout (BOR),32
1580608241,7.25,34.5,29.12,Brownout (BOR),32
1580612081,7.25,34.5,27.14,Brownout (BOR),32
1580612196,7.25,34.5,27.57,Brownout (BOR),32
1580612253,7.25,34.5,27.87,Brownout (BOR),32
1580613044,7.25,34.5,29.92,Brownout (BOR),32
1580613102,7.25,34.5,29.88,Brownout (BOR),32
1580613159,7.25,34.5,30.0,Brownout (BOR),32
1580613217,7.25,34.5,30.13,Brownout (BOR),32
