time,CAN_Rx_Error
1580517498,0
1580517685,0
1580517742,0
1580517800,0
1580522962,0
1580523077,0
1580523149,0
1580523207,0
1580523264,0
1580523322,0
1580523379,0
1580523451,0
1580523509,0
1580523566,0
1580523624,0
1580523681,0
1580528542,0
1580528600,0
1580528657,0
1580528729,0
1580528801,0
1580528858,0
1580528916,0
1580529031,0
1580529103,0
1580529160,0
1580529218,0
1580529276,0
1580529333,0
1580529405,0
1580529578,0
1580529635,0
1580534625,0
1580534683,0
1580534798,0
1580534913,0
1580534985,0
1580539357,0
1580539472,0
1580539543,0
1580544404,0
1580544462,0
1580544519,0
1580544577,0
1580544634,0
1580555851,0
1580555923,0
1580557002,0
1580557117,0
1580557174,0
1580557232,0
1580557304,0
1580557361,0
1580557476,0
1580557534,0
1580561733,0
1580561863,0
1580561920,0
1580561978,0
1580562941,0
1580562999,0
1580563056,0
1580563114,0
1580563171,0
1580563243,0
1580563301,0
1580563358,0
1580567442,0
1580567615,0
1580567672,0
1580567744,0
1580567802,0
1580567917,0
1580568032,0
1580568104,0
1580568823,0
1580568880,0
1580568938,0
1580569053,0
1580573324,0
1580573497,0
1580573612,0
1580573684,0
1580574043,0
1580574101,0
1580574575,0
1580578185,0
1580578242,0
1580578300,0
1580578357,0
1580578415,0
1580578472,0
1580578602,0
1580579436,0
1580579494,0
1580579551,0
1580579623,0
1580579738,0
1580579853,0
1580579925,0
1580580213,0
1580580285,0
1580580342,0
1580580457,0
1580583880,0
1580583995,0
1580584124,0
1580584182,0
1580584239,0
1580584297,0
1580584354,0
1580584412,0
1580584484,0
1580584541,0
1580585016,0
1580585073,0
1580585145,0
1580585203,0
1580585260,0
1580585318,0
1580585375,0
1580585505,0
1580585562,0
1580585620,0
1580585677,0
1580589761,0
1580589819,0
1580589877,0
1580589934,0
1580589992,0
1580590064,0
1580590121,0
1580590179,0
1580591085,0
1580591200,0
1580591315,0
1580595341,0
1580595399,0
1580595456,0
1580595514,0
1580595571,0
1580595643,0
1580595758,0
1580595816,0
1580595873,0
1580595945,0
1580596003,0
1580597915,0
1580598102,0
1580601396,0
1580601453,0
1580601525,0
1580601885,0
1580602000,0
1580602244,0
1580602302,0
1580605178,0
1580605422,0
1580605480,0
1580605537,0
1580607105,0
1580607162,0
1580607220,0
1580607277,0
1580607335,0
1580607392,0
1580607464,0
1580607522,0
1580607579,0
1580607637,0
1580607694,0
1580607752,0
1580607824,0
1580607881,0
1580607939,0
1580607996,0
1580608054,0
1580608111,0
1580608183,0
1580608241,0
1580612081,0
1580612196,0
1580612253,0
1580613044,0
1580613102,0
1580613159,0
1580613217,0
1580613274,0
1580613332,0
1580613461,0
1580613519,0
1580613576,0
1580613634,0
1580613763,0
1580613821,0
1580613878,0
1580613936,0
1580613993,0
1580614065,0
1580617114,0
1580617603,0
1580617718,0
1580617775,0
1580617833,0
1580618135,0
1580618911,0
1580618983,0
1580619041,0
1580619098,0
1580619156,0
1580619213,0
1580619285,0
1580619343,0
1580619400,0
1580623542,0
1580623657,0
1580623715,0
1580623772,0
1580623844,0
1580623959,0
1580624204,0
1580629783,0
1580635838,0
1580635953,0
1580640641,0
1580640699,0
1580640756,0
1580640814,0
1580641418,0
1580641533,0
1580641605,0
1580641662,0
1580641835,0
1580641964,0
1580646034,0
1580646221,0
1580646278,0
1580646336,0
1580646393,0
1580646465,0
1580646523,0
1580646580,0
1580646638,0
1580647544,0
1580647601,0
1580647659,0
1580647716,0
1580647774,0
1580647831,0
1580647903,0
1580650535,0
1580650593,0
1580650722,0
1580651858,0
1580651916,0
1580651973,0
1580652045,0
1580652103,0
1580652160,0
1580652218,0
1580652275,0
1580652405,0
1580653483,0
1580657740,0
1580657797,0
1580657855,0
1580657912,0
1580657984,0
1580658042,0
1580658099,0
1580658157,0
1580658214,0
1580658272,0
1580658401,0
1580658934,0
1580658991,0
1580659293,0
1580662773,0
1580662845,0
1580662960,0
1580663564,0
1580663622,0
1580663679,0
1580663737,0
1580663794,0
1580663852,0
1580663924,0
1580663981,0
1580664039,0
1580664096,0
1580664154,0
1580664211,0
1580664398,0
1580664700,0
1580664873,0
1580664945,0
1580665002,0
1580668425,0
1580668482,0
1580668540,0
1580668597,0
1580668655,0
1580668712,0
1580668784,0
1580668842,0
1580668899,0
1580668957,0
1580669014,0
1580669561,0
1580669618,0
1580669676,0
1580669734,0
1580669805,0
1580669863,0
1580669920,0
1580669978,0
1580670036,0
1580670093,0
1580670165,0
1580674177,0
1580674235,0
1580674292,0
1580674364,0
1580674422,0
1580674479,0
1580674537,0
1580674594,0
1580674652,0
1580674724,0
1580674781,0
1580674839,0
1580675443,0
1580675975,0
1580679757,0
1580679815,0
1580679872,0
1580679944,0
1580680001,0
1580680059,0
1580680117,0
1580680174,0
1580680232,0
1580680303,0
1580680361,0
1580680419,0
1580680476,0
1580680534,0
1580680591,0
1580680663,0
1580680721,0
1580680778,0
1580683899,0
1580684071,0
1580684143,0
1580684258,0
1580685639,0
1580685696,0
1580685754,0
1580685811,0
1580685883,0
1580685941,0
1580685998,0
1580686056,0
1580686113,0
1580686243,0
1580686300,0
1580686358,0
1580686415,0
1580686473,0
1580686545,0
1580686602,0
1580686717,0
1580686832,0
1580689651,0
1580689838,0
1580689896,0
1580689953,0
1580690025,0
1580690083,0
1580691578,0
1580691636,0
1580691693,0
1580691765,0
1580691823,0
1580691880,0
1580691938,0
1580691995,0
1580692053,0
1580692125,0
1580692182,0
1580692240,0
1580692297,0
1580692355,0
1580692412,0
1580692484,0
1580692542,0
1580692599,0
1580692657,0
1580696798,0
1580697460,0
1580697517,0
1580697632,0
1580697704,0
1580697762,0
1580697819,0
1580697877,0
1580697934,0
1580697992,0
1580698064,0
1580698121,0
1580698179,0
1580698236,0
1580698294,0
1580698351,0
1580698481,0
1580699200,0
1580699258,0
1580701602,0
1580701659,0
1580702076,0
1580702263,0
1580702321,0
1580702378,0
1580702565,0
1580702623,0
1580702680,0
1580702738,0
1580702795,0
1580703399,0
1580703457,0
