time,Panel_1_Enabled,Panel_2_Enabled,Panel_3_Enabled,Panel_1_Charging,Panel_2_Charging,Panel_3_Charging
1581192560,True,True,True,False,True,True
1581192618,True,True,True,True,False,True
1581192680,True,True,True,False,True,False
1581192800,True,True,True,False,False,False
1581192858,True,True,True,False,True,False
1581192920,True,True,True,False,True,False
1581210201,True,True,True,True,False,False
1581210258,True,True,True,False,False,False
1581210321,True,True,True,False,True,True
1581210345,True,True,True,False,True,False
1581210378,True,True,True,True,True,True
1581210441,True,True,True,True,True,True
1581210498,True,True,True,False,True,False
1581210560,True,True,True,False,True,False
1581210618,True,True,True,False,False,True
1581210680,True,True,True,False,True,True
1581210738,True,True,True,True,False,False
1581288800,True,True,True,False,True,True
1581457641,True,True,True,False,True,False
1581457699,True,True,True,False,False,False
1581536360,True,True,True,True,False,False
1581536418,True,True,True,True,True,True
1581536480,True,True,True,True,True,False
1581536537,True,True,True,False,True,False
1581536600,True,True,True,False,True,False
1581536657,True,True,True,False,True,False
1581536720,True,True,True,False,False,False
1581536777,True,True,True,False,False,False
1581536840,True,True,True,False,True,False
1581626601,True,True,True,False,False,False
1581626659,True,True,True,False,False,False
1581626721,True,True,True,True,False,True
1581626778,True,True,True,False,False,False
1581626841,True,True,True,True,True,False
1581626898,True,True,True,False,False,True
1581626961,True,True,True,False,True,True
1581627018,True,True,True,False,False,False
1581627081,True,True,True,False,False,False
1581627138,True,True,True,False,False,True
1581627200,True,True,True,False,False,True
1581627258,True,True,True,False,True,True
1581627320,True,True,True,False,False,False
1581627378,True,True,True,True,True,True
1581627440,True,True,True,False,False,True
1581789622,True,True,True,False,True,False
1581789684,True,True,True,False,False,False
1581789742,True,True,True,False,False,False
1581789804,True,True,True,False,True,False
1581789862,True,True,True,False,True,False
1581789924,True,True,True,False,False,True
1581789982,True,True,True,True,False,True
1581790044,True,True,True,True,True,False
1581790101,True,True,True,False,True,False
1581790164,True,True,True,False,False,False
1581891801,True,True,True,False,False,False
1581891863,True,True,True,False,True,False
1581891921,True,True,True,False,True,False
1581891983,True,True,True,False,True,False
1581892041,True,True,True,False,True,False
1581892103,True,True,True,False,False,False
1581892160,True,True,True,False,False,False
1581892223,True,True,True,False,True,False
1581892280,True,True,True,False,True,False
1581892343,True,True,True,False,True,True
1581892400,True,True,True,False,True,True
1581892462,True,True,True,True,True,False
1582223663,True,True,True,False,False,True
1582223721,True,True,True,False,False,True
1582223779,True,True,True,False,False,True
1582223783,True,True,True,False,False,True
