time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1581192560,48,22,-22,74,36,-18,50,34
1581192618,48,26,-22,74,36,-18,50,31
1581192680,48,29,-22,74,35,-18,50,29
1581192800,48,29,-22,74,39,-18,50,26
1581192858,48,27,-22,74,38,-18,50,30
1581192920,48,25,-22,74,39,-18,50,30
1581210201,48,24,-22,74,14,-18,50,21
1581210258,48,24,-22,74,14,-18,50,20
1581210321,48,22,-22,74,12,-18,50,19
1581210345,48,21,-22,74,13,-18,50,21
1581210378,48,19,-22,74,14,-18,50,21
1581210441,48,18,-22,74,15,-18,50,21
1581210498,48,19,-22,74,16,-18,50,20
1581210560,48,18,-22,74,17,-18,50,21
1581210618,48,17,-22,74,18,-18,50,22
1581210680,48,16,-22,74,16,-18,50,22
1581210738,48,16,-22,74,15,-18,50,21
1581288800,48,30,-22,74,20,-18,50,29
1581457641,48,22,-22,74,12,-18,50,20
1581457699,48,23,-22,74,13,-18,50,20
1581536360,48,24,-22,74,17,-18,51,27
1581536418,48,24,-22,74,16,-18,51,26
1581536480,48,22,-22,74,16,-18,51,27
1581536537,48,26,-22,74,15,-18,51,26
1581536600,48,28,-22,74,17,-18,51,23
1581536657,48,30,-22,74,21,-18,51,23
1581536720,48,31,-22,74,24,-18,51,23
1581536777,48,29,-22,74,26,-18,51,28
1581536840,48,27,-22,74,25,-18,51,34
1581626601,48,28,-22,74,16,-18,51,18
1581626659,48,27,-22,74,14,-18,51,18
1581626721,48,25,-22,74,13,-18,51,18
1581626778,48,23,-22,74,11,-18,51,22
1581626841,48,23,-22,74,10,-18,51,22
1581626898,48,26,-22,74,10,-18,51,20
1581626961,48,26,-22,74,9,-18,51,20
1581627018,48,25,-22,74,10,-18,51,23
1581627081,48,23,-22,74,9,-18,51,24
1581627138,48,26,-22,74,9,-18,51,23
1581627200,48,26,-22,74,10,-18,51,25
1581627258,48,24,-22,74,8,-18,51,26
1581627320,48,27,-22,74,10,-18,51,25
1581627378,48,30,-22,74,9,-18,51,23
1581627440,48,28,-22,74,12,-18,51,23
1581789622,56,18,-22,74,13,-18,51,25
1581789684,56,19,-22,74,18,-18,51,26
1581789742,56,18,-22,74,19,-18,51,31
1581789804,56,18,-22,74,17,-18,51,31
1581789862,56,20,-22,74,17,-18,51,28
1581789924,56,18,-22,74,17,-18,51,28
1581789982,56,18,-22,74,16,-18,51,28
1581790044,56,21,-22,74,16,-18,51,25
1581790101,56,24,-22,74,18,-18,51,24
1581790164,56,25,-22,74,23,-18,51,25
1581891801,56,16,-22,74,22,-18,51,35
1581891863,56,20,-22,74,20,-18,51,33
1581891921,56,21,-22,74,24,-18,51,32
1581891983,56,20,-22,74,28,-18,51,32
1581892041,56,22,-22,74,31,-18,51,30
1581892103,56,21,-22,74,33,-18,51,34
1581892160,56,21,-22,74,30,-18,51,35
1581892223,56,22,-22,74,28,-18,51,32
1581892280,56,25,-22,74,26,-18,51,29
1581892343,56,25,-22,74,30,-18,51,26
1581892400,56,26,-22,74,33,-18,51,23
1581892462,56,28,-22,74,34,-18,51,23
1582223663,45,15,-15,43,5,-16,51,2
1582223721,45,7,-15,43,6,-16,51,5
1582223779,45,6,-15,43,4,-16,51,9
1582223783,45,6,-15,43,4,-16,51,9
1582223841,45,5,-15,43,2,-16,51,9
1582223903,45,4,-15,43,1,-16,51,9
1582223961,45,4,-15,43,2,-16,51,9
1582224023,45,5,-15,43,6,-16,51,9
1582224081,45,7,-15,43,10,-16,51,8
1582224143,45,12,-15,43,9,-16,51,8
1582224200,45,16,-15,43,8,-16,51,7
1582224263,45,17,-15,43,12,-16,51,8
1582224320,45,15,-15,43,14,-16,51,13
1582224383,45,13,-15,43,16,-16,51,17
1582224440,45,10,-15,43,21,-16,51,18
1582224502,45,9,-15,43,25,-16,51,20
1582229483,45,6,-15,43,17,-17,51,17
1582229598,45,15,-15,43,20,-17,51,11
1582229603,45,15,-15,43,20,-17,51,11
1582229661,45,14,-15,43,20,-17,51,10
1582229723,45,13,-15,43,21,-17,51,9
1582229781,45,10,-15,43,23,-17,51,9
1582229843,45,8,-15,43,27,-17,51,11
1582229900,45,7,-15,43,27,-17,51,17
1582229963,45,6,-15,43,28,-17,51,21
1582230020,45,7,-15,43,31,-17,51,20
1582230083,45,9,-15,43,34,-17,51,17
1582230140,45,10,-15,43,37,-17,51,15
1582230202,45,15,-15,43,39,-17,51,14
1582230260,45,22,-15,43,39,-17,51,13
1582230322,45,23,-15,43,41,-17,51,13
1582235360,45,21,-15,47,23,-19,51,12
1582235422,45,17,-15,47,26,-19,51,13
1582235484,45,21,-15,47,26,-19,51,11
1582235542,45,23,-15,47,23,-19,51,10
1582235604,45,23,-15,47,20,-19,51,9
1582235662,45,21,-15,47,19,-19,51,8
1582235724,45,19,-15,47,21,-19,51,8
1582235782,45,20,-15,47,23,-19,51,8
1582235844,45,24,-15,47,22,-19,51,7
1582235902,45,26,-15,47,24,-19,51,6
1582235964,45,25,-15,47,28,-19,51,6
1582236021,45,24,-15,47,32,-19,51,6
1582236084,45,29,-15,47,32,-19,51,6
1582308084,56,-13,-21,58,-19,-31,51,10
1582308141,56,-14,-21,58,-14,-31,51,8
1582308204,56,-13,-21,58,-7,-31,51,7
1582308261,56,-9,-21,58,-2,-31,51,5
1582308324,56,-3,-21,58,0,-31,51,4
1582308381,56,3,-21,58,1,-31,51,2
1582308443,56,8,-21,58,4,-31,51,1
1582308501,56,11,-21,58,8,-31,51,-1
1582308683,56,15,-21,58,15,-31,51,-4
1582308741,56,13,-21,58,14,-31,51,-5
1582308803,56,11,-21,58,13,-31,51,-4
1582308861,56,9,-21,58,15,-31,51,-2
1582319962,56,0,-21,58,28,-31,51,16
1582320020,56,3,-21,58,32,-31,51,14
1582320082,7,5,36,38,37,12,15,14
1582320140,7,4,36,40,39,11,15,11
1582320202,11,8,36,40,39,10,15,10
1582320260,12,10,36,41,40,8,15,8
1582320322,12,10,36,43,42,8,15,8
1582320384,14,11,36,47,45,7,15,8
1582320442,17,13,36,47,46,6,15,7
1582320504,20,17,36,47,46,6,15,6
1582320562,24,19,36,49,47,5,15,5
1582488773,27,14,-19,47,0,-13,50,2
1582488893,27,11,-19,47,14,-13,50,2
1582488955,27,10,-19,47,16,-13,50,3
1582489022,27,9,-19,47,22,-13,50,9
1582489075,27,6,-19,47,23,-13,50,10
1582489195,27,3,-19,47,29,-13,50,12
1582489253,27,2,-19,47,29,-13,50,12
