time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1580528801,30.24,30.72,30.52,Brownout (BOR),24
1580528858,30.24,30.72,30.4,Brownout (BOR),24
1580528916,29.51,30.72,29.97,Brownout (BOR),24
1580529031,28.78,30.72,29.18,Brownout (BOR),24
1580529089,28.54,30.72,28.8,Brownout (BOR),24
1580529160,28.3,30.72,28.51,Brownout (BOR),24
1580529218,28.06,30.72,28.22,Brownout (BOR),24
1580529276,27.81,30.72,27.98,Brownout (BOR),24
1580529333,27.33,30.72,27.73,Brownout (BOR),24
1580529405,27.09,30.72,27.45,Brownout (BOR),24
1580529578,26.36,30.72,26.58,Brownout (BOR),24
1580529635,26.12,30.72,26.33,Brownout (BOR),24
1580534625,19.09,31.93,29.8,Brownout (BOR),24
1580534683,19.09,31.93,29.29,Brownout (BOR),24
1580534798,19.09,31.93,28.39,Brownout (BOR),24
1580534913,19.09,31.93,27.67,Brownout (BOR),24
1580534985,19.09,31.93,27.33,Brownout (BOR),24
1580539357,18.37,32.18,31.61,Brownout (BOR),24
1580539472,18.37,32.18,31.71,Brownout (BOR),24
1580539543,18.37,32.18,31.4,Brownout (BOR),24
1580544404,18.37,33.14,31.71,Brownout (BOR),24
1580544462,18.37,33.14,32.07,Brownout (BOR),24
1580544519,18.37,33.14,32.1,Brownout (BOR),24
1580544577,18.37,33.14,31.81,Brownout (BOR),24
1580544634,18.37,33.14,32.03,Brownout (BOR),24
1580555851,18.37,36.29,32.31,Brownout (BOR),24
1580555923,18.37,36.29,32.34,Brownout (BOR),24
1580557002,18.37,36.29,34.18,Brownout (BOR),24
1580557117,18.37,36.29,32.82,Brownout (BOR),24
1580557174,18.37,36.29,32.21,Brownout (BOR),24
1580557232,18.37,36.29,31.62,Brownout (BOR),24
1580557304,18.37,36.29,31.18,Brownout (BOR),24
1580557361,18.37,36.29,30.75,Brownout (BOR),24
1580557476,18.37,36.29,29.96,Brownout (BOR),24
1580557534,18.37,36.29,29.58,Brownout (BOR),24
1580561733,18.37,36.29,32.87,Brownout (BOR),24
1580561863,18.37,36.29,33.08,Brownout (BOR),24
1580561920,18.37,36.29,32.91,Brownout (BOR),24
1580561978,18.37,36.29,33.09,Brownout (BOR),24
1580562941,18.37,36.29,31.28,Brownout (BOR),24
1580562999,18.37,36.29,30.92,Brownout (BOR),24
1580563056,18.37,36.29,30.57,Brownout (BOR),24
1580563114,18.37,36.29,30.25,Brownout (BOR),24
1580563171,18.37,36.29,29.91,Brownout (BOR),24
1580563243,18.37,36.29,29.59,Brownout (BOR),24
1580563301,18.37,36.29,29.32,Brownout (BOR),24
1580563358,18.37,36.29,29.06,Brownout (BOR),24
1580567442,18.37,36.29,32.4,Brownout (BOR),24
1580567615,18.37,36.29,32.13,Brownout (BOR),24
1580567672,18.37,36.29,32.62,Brownout (BOR),24
1580567744,18.37,36.29,32.62,Brownout (BOR),24
1580567802,18.37,36.29,32.28,Brownout (BOR),24
1580567917,18.37,36.29,32.41,Brownout (BOR),24
1580568032,18.37,36.29,32.71,Brownout (BOR),24
1580568104,18.37,36.29,33.12,Brownout (BOR),24
1580568823,18.37,36.29,29.43,Brownout (BOR),24
1580568880,18.37,36.29,29.16,Brownout (BOR),24
1580568938,18.37,36.29,28.84,Brownout (BOR),24
1580569053,18.37,36.29,28.2,Brownout (BOR),24
1580573324,18.37,36.29,32.56,Brownout (BOR),24
1580573497,18.37,36.29,32.64,Brownout (BOR),24
1580573612,18.37,36.29,32.32,Brownout (BOR),24
1580573684,18.37,36.29,32.42,Brownout (BOR),24
1580574043,18.37,36.29,31.64,Brownout (BOR),24
1580574101,18.37,36.29,31.16,Brownout (BOR),24
1580574446,18.37,36.29,29.0,Brownout (BOR),24
1580574575,18.37,36.29,28.36,Brownout (BOR),24
1580578185,18.37,36.29,32.21,Brownout (BOR),24
1580578242,18.37,36.29,32.56,Brownout (BOR),24
1580578300,18.37,36.29,32.65,Brownout (BOR),24
1580578357,18.37,36.29,32.41,Brownout (BOR),24
1580578415,18.37,36.29,32.28,Brownout (BOR),24
1580578472,18.37,36.29,31.88,Brownout (BOR),24
1580578602,18.37,36.29,31.78,Brownout (BOR),24
1580579436,18.37,36.29,35.16,Brownout (BOR),24
1580579494,18.37,36.29,35.29,Brownout (BOR),24
1580579551,18.37,36.29,34.97,Brownout (BOR),24
1580579623,18.37,36.29,34.32,Brownout (BOR),24
1580579738,18.37,36.29,33.29,Brownout (BOR),24
1580579853,18.37,36.29,32.57,Brownout (BOR),24
1580579925,18.37,36.29,32.26,Brownout (BOR),24
1580580213,18.37,36.29,30.78,Brownout (BOR),24
1580580285,18.37,36.29,30.47,Brownout (BOR),24
1580580342,18.37,36.29,30.18,Brownout (BOR),24
1580580457,18.37,36.29,29.58,Brownout (BOR),24
1580583880,18.37,36.29,33.31,Brownout (BOR),24
1580583995,18.37,36.29,33.13,Brownout (BOR),24
1580584124,18.37,36.29,33.58,Brownout (BOR),24
1580584182,18.37,36.29,33.69,Brownout (BOR),24
1580584239,18.37,36.29,33.64,Brownout (BOR),24
1580584297,18.37,36.29,33.7,Brownout (BOR),24
1580584354,18.37,36.29,33.75,Brownout (BOR),24
1580584412,18.37,36.29,34.06,Brownout (BOR),24
1580584484,18.37,36.29,34.63,Brownout (BOR),24
1580584541,18.37,36.29,35.14,Brownout (BOR),24
1580585016,18.37,37.26,37.04,Brownout (BOR),24
1580585073,18.37,37.75,37.2,Brownout (BOR),24
1580585145,18.37,37.75,37.51,Brownout (BOR),24
1580585203,18.37,37.99,37.56,Brownout (BOR),24
1580585260,18.37,37.99,36.88,Brownout (BOR),24
1580585318,18.37,37.99,36.19,Brownout (BOR),24
1580585375,18.37,37.99,35.68,Brownout (BOR),24
1580585505,18.37,37.99,34.86,Brownout (BOR),24
1580585562,18.37,37.99,34.46,Brownout (BOR),24
1580585620,18.37,37.99,34.14,Brownout (BOR),24
1580585677,18.37,37.99,33.79,Brownout (BOR),24
1580589761,18.37,37.99,33.78,Brownout (BOR),24
1580589819,18.37,37.99,33.81,Brownout (BOR),24
1580589877,18.37,37.99,33.84,Brownout (BOR),24
1580589934,18.37,37.99,34.2,Brownout (BOR),24
1580589992,18.37,37.99,34.52,Brownout (BOR),24
1580590064,18.37,37.99,34.55,Brownout (BOR),24
1580590121,18.37,37.99,34.57,Brownout (BOR),24
1580590179,18.37,37.99,34.89,Brownout (BOR),24
1580591085,18.37,37.99,32.19,Brownout (BOR),24
1580591200,18.37,37.99,31.39,Brownout (BOR),24
1580591315,18.37,37.99,30.7,Brownout (BOR),24
1580595341,18.37,37.99,31.78,Brownout (BOR),24
1580595384,18.37,37.99,32.15,Brownout (BOR),24
1580595456,18.37,37.99,32.37,Brownout (BOR),24
1580595514,18.37,37.99,32.34,Brownout (BOR),24
1580595571,18.37,37.99,32.64,Brownout (BOR),24
1580595643,18.37,37.99,33.07,Brownout (BOR),24
1580595758,18.37,37.99,33.15,Brownout (BOR),24
1580595816,18.37,37.99,33.3,Brownout (BOR),24
1580595873,18.37,37.99,33.69,Brownout (BOR),24
1580595945,18.37,37.99,33.87,Brownout (BOR),24
1580596003,18.37,37.99,33.48,Brownout (BOR),24
1580597915,18.37,37.99,24.24,Brownout (BOR),24
1580598102,18.37,37.99,23.23,Brownout (BOR),24
1580601396,18.37,37.99,32.36,Brownout (BOR),24
1580601453,18.37,37.99,32.75,Brownout (BOR),24
1580601525,18.37,37.99,32.71,Brownout (BOR),24
1580601885,18.37,37.99,33.2,Brownout (BOR),24
1580602000,18.37,37.99,33.64,Brownout (BOR),24
1580602244,18.37,37.99,32.27,Brownout (BOR),24
1580602302,18.37,37.99,31.87,Brownout (BOR),24
