time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1587759742,26.75,27.0,26.88,Brownout (BOR),5
1587759813,26.75,27.25,27.05,Brownout (BOR),5
1587759875,27.0,27.75,27.38,Brownout (BOR),5
1587759933,27.25,27.75,27.6,Brownout (BOR),5
1587759995,27.75,28.0,27.9,Brownout (BOR),5
1587760053,28.0,28.25,28.15,Brownout (BOR),5
1587760115,28.25,28.5,28.42,Brownout (BOR),5
1587760173,28.5,28.75,28.64,Brownout (BOR),5
1587760235,28.5,29.25,28.85,Brownout (BOR),5
1587760292,28.75,29.25,29.11,Brownout (BOR),5
1587760355,29.25,29.5,29.39,Brownout (BOR),5
1587765605,29.75,30.0,29.84,Brownout (BOR),5
1587765662,29.75,30.0,29.91,Brownout (BOR),5
1587765849,30.0,30.5,30.27,Brownout (BOR),5
1587771429,30.75,31.25,30.96,Brownout (BOR),5
1587782288,30.75,31.0,30.89,Brownout (BOR),5
1587782403,30.75,31.25,30.97,Brownout (BOR),5
1587788098,28.75,29.0,28.81,Brownout (BOR),5
1587788155,28.75,29.25,28.94,Brownout (BOR),5
1587788227,28.75,29.25,28.96,Brownout (BOR),5
1587792772,28.5,28.75,28.53,Brownout (BOR),5
1587798366,27.25,27.5,27.41,Brownout (BOR),5
1587798481,27.0,27.25,27.05,Brownout (BOR),5
1587798539,26.75,27.25,26.9,Brownout (BOR),5
1587798597,26.75,27.0,26.81,Brownout (BOR),5
1587798668,26.5,27.0,26.65,Brownout (BOR),5
1587798726,26.5,26.75,26.59,Brownout (BOR),5
1587798899,26.25,26.75,26.46,Brownout (BOR),5
1587800768,30.25,30.5,30.43,Brownout (BOR),5
1587800883,30.75,31.25,30.89,Brownout (BOR),5
1587800941,31.0,31.5,31.14,Brownout (BOR),5
1587800998,31.25,31.75,31.43,Brownout (BOR),5
1587801070,31.5,32.0,31.65,Brownout (BOR),5
1587801128,31.75,32.25,31.88,Brownout (BOR),5
1587803587,30.75,31.25,31.04,Brownout (BOR),5
1587803644,30.5,31.0,30.81,Brownout (BOR),5
1587804177,29.25,29.5,29.34,Brownout (BOR),5
1587804249,29.0,29.5,29.23,Brownout (BOR),5
1587804306,29.0,29.25,29.13,Brownout (BOR),5
1587804421,28.75,29.0,28.89,Brownout (BOR),5
1587804479,28.5,29.0,28.8,Brownout (BOR),5
1587804536,28.5,29.0,28.7,Brownout (BOR),5
1587804608,28.5,29.0,28.66,Brownout (BOR),5
1587804781,28.5,28.75,28.65,Brownout (BOR),5
1587804838,28.5,29.0,28.73,Brownout (BOR),5
1587806521,33.0,33.25,33.09,Brownout (BOR),5
1587806578,33.0,33.5,33.32,Brownout (BOR),5
1587806650,33.25,33.75,33.53,Brownout (BOR),5
1587806765,33.75,34.25,33.97,Brownout (BOR),5
1587806823,34.0,34.25,34.17,Brownout (BOR),5
1587806880,34.25,34.5,34.39,Brownout (BOR),5
1587806938,34.5,34.75,34.51,Brownout (BOR),5
1587807010,34.5,34.75,34.66,Brownout (BOR),5
1587809110,32.25,32.75,32.55,Brownout (BOR),5
1587809167,32.0,32.5,32.28,Brownout (BOR),5
1587809225,31.75,32.25,32.04,Brownout (BOR),5
1587809282,31.75,32.0,31.81,Brownout (BOR),5
1587809340,31.5,32.0,31.65,Brownout (BOR),5
1587809397,31.25,31.5,31.38,Brownout (BOR),5
1587809469,31.0,31.5,31.21,Brownout (BOR),5
1587810001,29.75,30.25,30.0,Brownout (BOR),5
1587810059,29.75,30.25,29.97,Brownout (BOR),5
1587810116,29.75,30.0,29.85,Brownout (BOR),5
1587810188,29.5,30.0,29.78,Brownout (BOR),5
1587810361,29.75,30.0,29.8,Brownout (BOR),5
1587810418,29.75,30.0,29.88,Brownout (BOR),5
1587810490,29.75,30.0,29.83,Brownout (BOR),5
1587810548,29.75,30.0,29.96,Brownout (BOR),5
1587812763,36.75,37.0,36.85,Brownout (BOR),5
1587812878,37.0,37.25,37.11,Brownout (BOR),5
1587813122,37.0,37.5,37.32,Brownout (BOR),5
1587814862,32.5,33.0,32.72,Brownout (BOR),5
1587814920,32.25,32.75,32.54,Brownout (BOR),5
1587814977,32.0,32.5,32.33,Brownout (BOR),5
1587815035,32.0,32.25,32.09,Brownout (BOR),5
1587815222,31.25,31.5,31.45,Brownout (BOR),5
1587815279,31.0,31.5,31.23,Brownout (BOR),5
1587815337,31.0,31.25,31.09,Brownout (BOR),5
1587815394,30.75,31.0,30.86,Brownout (BOR),5
1587815581,30.25,30.75,30.5,Brownout (BOR),5
1587815639,30.25,30.5,30.38,Brownout (BOR),5
1587815696,30.0,30.5,30.21,Brownout (BOR),5
1587815941,29.75,30.0,29.9,Brownout (BOR),5
1587815998,29.75,30.0,29.85,Brownout (BOR),5
1587816070,29.75,30.0,29.8,Brownout (BOR),5
1587816128,29.5,30.0,29.73,Brownout (BOR),5
1587818702,37.0,37.25,37.23,Brownout (BOR),5
1587818760,37.25,37.5,37.36,Brownout (BOR),5
1587818817,37.25,37.75,37.48,Brownout (BOR),5
1587820802,32.5,33.0,32.76,Brownout (BOR),5
1587820859,32.5,32.75,32.58,Brownout (BOR),5
1587820917,32.25,32.5,32.47,Brownout (BOR),5
1587820989,32.25,32.5,32.38,Brownout (BOR),5
1587821046,32.0,32.5,32.27,Brownout (BOR),5
1587821161,31.75,32.25,32.04,Brownout (BOR),5
1587821219,31.75,32.0,31.92,Brownout (BOR),5
1587821348,31.75,32.0,31.81,Brownout (BOR),5
1587821463,31.5,31.75,31.57,Brownout (BOR),5
