time,CAN_Rx_Error
1587759742,0
1587759813,0
1587759875,0
1587759933,0
1587759995,0
1587760053,0
1587760115,0
1587760173,0
1587760235,0
1587760292,0
1587760355,0
1587765605,0
1587765662,0
1587765835,0
1587771415,0
1587782288,0
1587782403,0
1587788098,0
1587788155,0
1587788213,0
1587792772,0
1587792829,0
1587798352,0
1587798481,0
1587798539,0
1587798597,0
1587798654,0
1587798726,0
1587798899,0
1587800768,0
1587800883,0
1587800941,0
1587800998,0
1587801056,0
1587801128,0
1587803515,0
1587803587,0
1587803644,0
1587804177,0
1587804234,0
1587804306,0
1587804421,0
1587804479,0
1587804551,0
1587804608,0
1587804781,0
1587804838,0
1587806521,0
1587806564,0
1587806636,0
1587806765,0
1587806823,0
1587806880,0
1587806938,0
1587806995,0
1587809095,0
1587809167,0
1587809225,0
1587809282,0
1587809340,0
1587809397,0
1587809455,0
1587810001,0
1587810059,0
1587810116,0
1587810188,0
1587810361,0
1587810418,0
1587810476,0
1587810548,0
1587812763,0
1587812878,0
1587813122,0
1587814862,0
1587814920,0
1587814977,0
1587815035,0
1587815092,0
1587815150,0
1587815222,0
1587815279,0
1587815337,0
1587815394,0
1587815452,0
1587815581,0
1587815639,0
1587815696,0
1587815941,0
1587815998,0
1587816056,0
1587816128,0
1587818702,0
1587818760,0
1587818817,0
1587820802,0
1587820859,0
1587820917,0
1587820974,0
1587821046,0
1587821161,0
1587821219,0
1587821334,0
1587821463,0
1587821521,0
1587824455,0
1587824642,0
1587824699,0
1587824757,0
1587824814,0
1587824886,0
1587826080,0
1587826439,0
1587826497,0
1587826554,0
1587826612,0
1587826741,0
1587826799,0
1587826857,0
1587826914,0
1587827043,0
1587827101,0
1587827159,0
1587827216,0
1587827288,0
1587830279,0
1587830337,0
1587830394,0
1587830581,0
1587830696,0
1587832264,0
1587832322,0
1587832379,0
1587832437,0
1587832494,0
1587832624,0
1587832681,0
1587832739,0
1587832796,0
1587832868,0
1587832926,0
1587832983,0
1587833041,0
1587833098,0
1587833156,0
1587833228,0
1587833343,0
1587833400,0
1587838261,0
1587838319,0
1587838391,0
1587838448,0
1587838563,0
1587838621,0
1587838678,0
1587838736,0
1587838923,0
1587838980,0
1587839038,0
1587839095,0
1587844117,0
1587844175,0
1587844233,0
1587844304,0
1587844362,0
1587844535,0
1587844592,0
1587844664,0
1587844779,0
1587844837,0
1587850057,0
1587850115,0
1587850172,0
1587850244,0
1587854918,0
1587854976,0
1587855033,0
1587860858,0
1587866668,0
1587866798,0
1587866855,0
1587866970,0
1587867100,0
1587872795,0
1587872852,0
1587877181,0
1587877296,0
1587877354,0
1587882819,0
1587883049,0
1587883121,0
1587883178,0
1587883236,0
1587883293,0
1587885335,0
1587885393,0
1587885450,0
1587885522,0
1587885637,0
1587888097,0
1587888758,0
1587888816,0
1587888873,0
1587888931,0
1587889118,0
1587889233,0
1587890973,0
1587891031,0
1587891102,0
1587891160,0
1587891217,0
1587891275,0
1587891333,0
1587891390,0
1587891462,0
1587891520,0
1587893619,0
1587893677,0
1587893734,0
1587893792,0
1587893864,0
1587893921,0
1587894813,0
1587894870,0
1587894942,0
1587895057,0
1587895115,0
1587897157,0
1587897344,0
1587899372,0
1587899444,0
1587899559,0
1587899616,0
1587899674,0
1587899731,0
1587899789,0
1587899918,0
1587899976,0
1587900465,0
1587900695,0
1587900810,0
1587905139,0
1587905196,0
1587905254,0
1587905312,0
1587905369,0
1587905441,0
1587905498,0
1587905556,0
1587905614,0
1587905671,0
1587905801,0
1587905858,0
1587905916,0
1587905973,0
1587908921,0
1587908979,0
1587909036,0
1587909094,0
1587909151,0
1587909267,0
1587910719,0
1587910777,0
1587910834,0
1587910892,0
1587910964,0
1587911079,0
1587911136,0
1587911194,0
1587911251,0
1587911381,0
1587911438,0
1587911496,0
1587911553,0
1587911611,0
1587911668,0
1587911740,0
1587911798,0
1587914674,0
1587914732,0
1587914919,0
1587914976,0
1587915278,0
1587916774,0
1587916846,0
1587916903,0
1587917018,0
1587917076,0
1587917133,0
1587917191,0
1587917263,0
1587917378,0
1587917435,0
1587917493,0
1587917550,0
1587917622,0
1587922598,0
1587922656,0
1587922713,0
1587922771,0
1587922843,0
1587922900,0
1587922958,0
1587923015,0
1587923073,0
1587923145,0
1587923260,0
1587923317,0
1587923375,0
1587923432,0
1587923504,0
1587923677,0
1587923735,0
1587928538,0
1587928595,0
1587928653,0
1587928710,0
1587928782,0
1587928897,0
1587928955,0
1587929013,0
1587929084,0
1587929142,0
1587934593,0
1587934650,0
1587934837,0
1587945278,0
1587945336,0
1587945393,0
1587951218,0
1587951275,0
1587951333,0
1587951390,0
1587956970,0
1587957042,0
1587957100,0
1587957157,0
1587957215,0
1587957344,0
1587957402,0
1587961659,0
1587967360,0
1587967418,0
1587967475,0
1587967533,0
1587967590,0
1587967662,0
1587973177,0
1587973292,0
1587973349,0
1587973479,0
1587973536,0
1587975578,0
1587975636,0
1587975693,0
1587975751,0
