time,BDot_Z_Min,FSW_X_Avg,FSW_X_Max,FSW_X_Min,FSW_Y_Avg,FSW_Y_Max,FSW_Y_Min,FSW_Z_Avg
1584763119,0,0,0,0,0,0,0,0
1584763182,0,0,0,0,0,0,0,0
1584763239,0,0,0,0,0,0,0,0
1584763302,0,0,0,0,0,0,0,0
1584763359,0,0,0,0,0,0,0,0
1584763421,0,0,0,0,0,0,0,0
1584763479,0,0,0,0,0,0,0,0
1584763541,0,0,0,0,0,0,0,0
1584763599,0,0,0,0,0,0,0,0
1584763661,0,0,0,0,0,0,0,0
1584763719,0,0,0,0,0,0,0,0
1584763837,0,0,0,0,0,0,0,0
1584763895,0,0,0,0,0,0,0,0
1584767015,0,0,0,0,0,0,0,0
1584767073,-99,0,0,0,0,0,0,0
1584767145,-99,0,0,0,0,0,0,0
1584767202,-99,0,0,0,0,0,0,0
1584767274,-99,0,0,0,0,0,0,0
1584767317,-99,0,0,0,0,0,0,0
1584768813,-99,0,0,0,0,0,0,0
1584768942,-99,0,0,0,0,0,0,0
1584768999,-99,0,0,0,0,0,0,0
1584769061,-99,0,0,0,0,0,0,0
1584769119,-99,0,0,0,0,0,0,0
1584769181,-99,0,0,0,0,0,0,0
1584769239,-99,0,0,0,0,0,0,0
1584769301,-99,0,0,0,0,0,0,0
1584769359,-99,0,0,0,0,0,0,0
1584769421,-99,0,0,0,0,0,0,0
1584769541,-99,0,0,0,0,0,0,0
1584769661,-99,0,0,0,0,0,0,0
1584769718,-99,0,0,0,0,0,0,0
1584769798,-99,0,0,0,0,0,0,0
1584769842,-99,0,0,0,0,0,0,0
1584769899,-99,0,0,0,0,0,0,0
1584772775,-99,0,0,0,0,0,0,0
1584772977,-99,0,0,0,0,0,0,0
1584773020,-99,0,0,0,0,0,0,0
1584773135,-99,0,0,0,0,0,0,0
1584774702,-99,0,0,0,0,0,0,0
1584774760,-99,0,0,0,0,0,0,0
1584774817,-99,0,0,0,0,0,0,0
1584774875,-99,0,0,0,0,0,0,0
1584774947,-99,0,0,0,0,0,0,0
1584775004,-99,0,0,0,0,0,0,0
1584775076,-99,0,0,0,0,0,0,0
1584775119,-99,0,0,0,0,0,0,0
1584775177,-99,0,0,0,0,0,0,0
1584775234,-99,0,0,0,0,0,0,0
1584775306,-99,0,0,0,0,0,0,0
1584775364,-99,0,0,0,0,0,0,0
1584775421,-99,0,0,0,0,0,0,0
1584775479,-99,0,0,0,0,0,0,0
1584775536,-99,0,0,0,0,0,0,0
1584775594,-99,0,0,0,0,0,0,0
1584775666,-99,0,0,0,0,0,0,0
1584775723,-99,0,0,0,0,0,0,0
1584779563,-99,0,0,0,0,0,0,0
1584779621,-99,0,0,0,0,0,0,0
1584779678,-99,0,0,0,0,0,0,0
1584779793,-99,0,0,0,0,0,0,0
1584779865,-99,0,0,0,0,0,0,0
1584779923,-99,0,0,0,0,0,0,0
1584780584,-99,0,0,0,0,0,0,0
1584780642,-99,0,0,0,0,0,0,0
1584780699,-99,0,0,0,0,0,0,0
1584780757,-99,0,0,0,0,0,0,0
1584780814,-99,0,0,0,0,0,0,0
1584780886,-99,0,0,0,0,0,0,0
1584780944,-99,0,0,0,0,0,0,0
1584781001,-99,0,0,0,0,0,0,0
1584781059,-99,0,0,0,0,0,0,0
1584781116,-99,0,0,0,0,0,0,0
1584781188,-99,0,0,0,0,0,0,0
1584781246,-99,0,0,0,0,0,0,0
1584781303,-99,0,0,0,0,0,0,0
1584781361,-99,0,0,0,0,0,0,0
1584781418,-99,0,0,0,0,0,0,0
1584781476,-99,0,0,0,0,0,0,0
1584785329,-99,0,0,0,0,0,0,0
1584785386,-99,0,0,0,0,0,0,0
1584785444,-99,0,0,0,0,0,0,0
1584785516,-99,0,0,0,0,0,0,0
1584785573,-99,0,0,0,0,0,0,0
1584786594,-99,0,0,0,0,0,0,0
1584786652,-99,0,0,0,0,0,0,0
1584786709,-99,0,0,0,0,0,0,0
1584786767,-99,0,0,0,0,0,0,0
1584786824,-99,0,0,0,0,0,0,0
1584786882,-99,0,0,0,0,0,0,0
1584786954,-99,0,0,0,0,0,0,0
1584787011,-99,0,0,0,0,0,0,0
1584787083,-99,0,0,0,0,0,0,0
1584791383,-99,0,0,0,0,0,0,0
1584791455,-99,0,0,0,0,0,0,0
1584791513,-99,0,0,0,0,0,0,0
1584803392,-99,0,0,0,0,0,0,0
1584803449,-99,0,0,0,0,0,0,0
1584803507,-99,0,0,0,0,0,0,0
1584809087,-99,0,0,0,0,0,0,0
1584809144,-99,0,0,0,0,0,0,0
