time,FSW_Z_Max,FSW_Z_Min,Duty_X1_Avg,Duty_X2_Avg,Duty_Y1_Avg,Duty_Y2_Avg,Duty_Z1_Avg,Duty_Z2_Avg
1584763119,0,0,100,89,100,86,100,91
1584763182,0,0,100,100,100,100,100,100
1584763239,0,0,100,100,100,100,100,100
1584763302,0,0,100,100,100,100,100,100
1584763359,0,0,100,100,100,100,100,100
1584763421,0,0,100,100,100,100,100,100
1584763479,0,0,100,100,100,100,100,100
1584763541,0,0,100,100,100,100,100,100
1584763599,0,0,100,100,100,100,100,100
1584763661,0,0,100,100,100,100,100,100
1584763719,0,0,100,100,100,100,100,100
1584763837,0,0,100,100,100,100,100,100
1584763895,0,0,100,100,100,100,100,100
1584763967,0,0,100,100,100,100,100,100
1584767015,0,0,100,100,100,100,100,59
1584767073,0,0,100,100,100,100,100,60
1584767145,0,0,88,98,81,100,90,100
1584767202,0,0,87,100,100,91,100,95
1584767260,0,0,100,81,100,85,100,82
1584767317,0,0,98,96,88,100,100,83
1584768813,0,0,100,100,100,100,100,100
1584768942,0,0,100,100,100,100,100,100
1584768999,0,0,100,100,100,100,100,100
1584769061,0,0,100,100,100,100,100,100
1584769119,0,0,100,100,100,100,100,100
1584769181,0,0,100,100,100,100,100,100
1584769239,0,0,100,100,100,100,100,100
1584769301,0,0,100,100,100,100,100,100
1584769359,0,0,100,100,100,100,100,100
1584769421,0,0,100,100,100,100,100,100
1584769541,0,0,100,100,100,100,100,100
1584769661,0,0,100,100,100,100,100,100
1584769718,0,0,100,100,100,100,100,100
1584769784,0,0,100,100,100,100,100,100
1584769842,0,0,100,100,100,100,100,100
1584769899,0,0,100,100,100,100,100,100
1584772775,0,0,100,100,100,100,100,100
1584772962,0,0,100,100,100,100,100,100
1584773020,0,0,100,100,100,100,100,100
1584773135,0,0,100,100,100,100,100,100
1584774702,0,0,100,100,100,100,100,100
1584774760,0,0,100,100,100,100,100,100
1584774817,0,0,100,100,100,100,100,100
1584774875,0,0,100,100,100,100,100,100
1584774947,0,0,100,100,100,100,100,100
1584775004,0,0,94,100,100,100,100,100
1584775119,0,0,61,100,100,95,100,100
1584775177,0,0,100,100,100,61,100,100
1584775234,0,0,100,100,100,62,100,95
1584775306,0,0,100,100,100,100,100,59
1584775364,0,0,95,100,100,95,95,65
1584775421,0,0,100,100,100,100,100,100
1584775479,0,0,100,100,100,100,100,100
1584775536,0,0,100,100,100,100,100,100
1584775594,0,0,100,100,100,100,100,100
1584775666,0,0,100,100,100,100,100,100
1584775723,0,0,100,100,100,100,100,100
1584775781,0,0,100,100,100,100,100,100
1584779563,0,0,100,100,100,100,100,100
1584779621,0,0,100,100,100,100,100,100
1584779678,0,0,100,100,100,100,100,100
1584779793,0,0,100,100,100,100,100,100
1584779865,0,0,100,100,100,100,100,100
1584779923,0,0,100,100,100,100,100,100
1584780584,0,0,100,100,100,100,100,100
1584780642,0,0,100,100,100,100,100,100
1584780699,0,0,100,100,100,100,100,100
1584780757,0,0,100,100,100,100,100,100
1584780814,0,0,100,100,100,100,100,100
1584780886,0,0,100,100,100,100,100,100
1584780944,0,0,100,100,100,100,100,100
1584781001,0,0,100,100,100,100,100,100
1584781059,0,0,100,100,100,100,100,100
1584781116,0,0,100,100,100,100,100,100
1584781174,0,0,100,100,100,100,100,100
1584781246,0,0,100,100,100,100,100,100
1584781303,0,0,100,100,100,100,100,100
1584781361,0,0,100,100,100,100,100,100
1584781418,0,0,100,100,100,100,100,100
1584781476,0,0,100,100,100,100,100,100
1584785329,0,0,100,100,100,100,100,100
1584785386,0,0,100,100,100,100,100,100
1584785444,0,0,100,100,100,100,100,100
1584785516,0,0,100,100,100,100,100,100
1584785573,0,0,100,100,100,100,100,100
1584786594,0,0,100,100,100,100,100,100
1584786652,0,0,100,100,100,100,100,100
1584786709,0,0,100,100,100,100,100,100
1584786767,0,0,100,100,100,100,100,100
1584786824,0,0,100,100,100,100,100,100
1584786882,0,0,100,100,100,100,100,100
1584786954,0,0,100,100,100,100,100,100
1584787011,0,0,100,100,100,100,100,100
1584787069,0,0,100,100,100,100,100,100
1584791383,0,0,100,100,100,100,100,100
1584791455,0,0,100,100,100,100,100,100
1584791513,0,0,100,100,100,100,100,100
1584803392,0,0,100,100,100,100,100,100
1584803449,0,0,100,100,100,100,100,100
1584803507,0,0,100,100,100,100,100,100
1584809087,0,0,100,100,100,100,100,100
1584809144,0,0,100,100,100,100,100,100
1584809202,0,0,100,100,100,100,100,100
1584813530,0,0,100,100,100,100,100,100
1584813588,0,0,100,100,100,100,100,100
1584813832,0,0,100,100,100,100,100,100
