time,Ignore_FSW,Reset_Counts,Command_X_Variance,Command_Y_Variance,Command_Z_Variance
1584763119,True,11,1133,1645,953
1584763182,True,11,0,0,0
1584763239,True,11,0,0,0
1584763302,True,11,0,0,0
1584763359,True,11,0,0,0
1584763421,True,11,0,0,0
1584763479,True,11,0,0,0
1584763541,True,11,0,0,0
1584763599,True,11,0,0,0
1584763661,True,11,0,0,0
1584763719,True,11,0,0,0
1584763837,True,11,0,0,0
1584763895,True,11,0,0,0
1584763967,True,11,0,0,0
1584767015,True,11,0,0,444
1584767073,True,11,694,694,3131
1584767145,True,11,359,673,245
1584767202,True,11,312,303,114
1584767260,True,11,211,690,114
1584767317,True,11,155,39,157
1584768813,True,11,0,0,0
1584768942,True,11,0,0,0
1584768999,True,11,0,0,0
1584769061,True,11,0,0,0
1584769119,True,11,0,0,0
1584769181,True,11,0,0,0
1584769239,True,11,0,0,0
1584769301,True,11,0,0,0
1584769359,True,11,0,0,0
1584769421,True,11,0,0,0
1584769541,True,11,0,0,0
1584769661,True,11,0,0,0
1584769718,True,11,0,0,0
1584769784,True,11,0,0,0
1584769842,True,11,0,0,0
1584769899,True,11,0,0,0
1584772775,True,11,0,0,0
1584772962,True,11,0,0,0
1584773020,True,11,0,0,0
1584773135,True,11,0,0,0
1584774702,True,11,0,0,0
1584774760,True,11,0,0,0
1584774817,True,11,0,0,0
1584774875,True,11,0,0,0
1584774947,True,11,0,0,0
1584775004,True,11,2480,0,0
1584775119,True,11,2480,2500,0
1584775177,True,11,0,478,0
1584775234,True,11,0,2471,2499
1584775306,True,11,0,0,443
1584775364,True,11,934,640,3963
1584775421,True,11,0,0,0
1584775479,True,11,0,0,0
1584775536,True,11,0,0,0
1584775594,True,11,0,0,0
1584775666,True,11,0,0,0
1584775723,True,11,0,0,0
1584775781,True,11,0,0,0
1584779563,True,11,0,0,0
1584779621,True,11,0,0,0
1584779678,True,11,0,0,0
1584779793,True,11,0,0,0
1584779865,True,11,0,0,0
1584779923,True,11,0,0,0
1584780584,True,11,0,0,0
1584780642,True,11,0,0,0
1584780699,True,11,0,0,0
1584780757,True,11,0,0,0
1584780814,True,11,0,0,0
1584780886,True,11,0,0,0
1584780944,True,11,0,0,0
1584781001,True,11,0,0,0
1584781059,True,11,0,0,0
1584781116,True,11,0,0,0
1584781174,True,11,0,0,0
1584781246,True,11,0,0,0
1584781303,True,11,0,0,0
1584781361,True,11,0,0,0
1584781418,True,11,0,0,0
1584781476,True,11,0,0,0
1584785329,True,11,0,0,0
1584785386,True,11,0,0,0
1584785444,True,11,0,0,0
1584785516,True,11,0,0,0
1584785573,True,11,0,0,0
1584786594,True,11,0,0,0
1584786652,True,11,0,0,0
1584786709,True,11,0,0,0
1584786767,True,11,0,0,0
1584786824,True,11,0,0,0
1584786882,True,11,0,0,0
1584786954,True,11,0,0,0
1584787011,True,11,0,0,0
1584787069,True,11,0,0,0
1584791383,True,11,0,0,0
1584791455,True,11,0,0,0
1584791513,True,11,0,0,0
1584803392,True,11,0,0,0
1584803449,True,11,0,0,0
1584803507,True,11,0,0,0
1584809087,True,11,0,0,0
1584809144,True,11,0,0,0
1584809202,True,11,0,0,0
1584813530,True,11,0,0,0
1584813588,True,11,0,0,0
1584813832,True,11,0,0,0
1584813890,True,11,0,0,0
1584813947,True,11,0,0,0
1584814063,True,11,0,0,0
1584819412,True,11,0,0,0
1584819470,True,11,0,0,0
1584819527,True,11,0,0,0
