time,Phase,Source,Last_BDot_X,Last_BDot_Y,Last_BDot_Z,Last_FSW_X,Last_FSW_Y,Last_FSW_Z
1584763100,Measurement,BDot,-86,99,77,0,0,0
1584763110,Actuation,BDot,0,0,0,0,0,0
1584763115,Measurement,BDot,0,0,0,0,0,0
1584763119,Actuation,BDot,0,0,0,0,0,0
1584763124,Measurement,BDot,0,0,0,0,0,0
1584763129,Measurement,BDot,0,0,0,0,0,0
1584763134,Measurement,BDot,0,0,0,0,0,0
1584763139,Actuation,BDot,0,0,0,0,0,0
1584763143,Actuation,BDot,0,0,0,0,0,0
1584763148,Actuation,BDot,0,0,0,0,0,0
1584763153,Measurement,BDot,0,0,0,0,0,0
1584763158,Measurement,BDot,0,0,0,0,0,0
1584763163,Measurement,BDot,0,0,0,0,0,0
1584763172,Actuation,BDot,0,0,0,0,0,0
1584763177,Measurement,BDot,0,0,0,0,0,0
1584763182,Measurement,BDot,0,0,0,0,0,0
1584763186,Measurement,BDot,0,0,0,0,0,0
1584763191,Measurement,BDot,0,0,0,0,0,0
1584763196,Actuation,BDot,0,0,0,0,0,0
1584763201,Actuation,BDot,0,0,0,0,0,0
1584763206,Actuation,BDot,0,0,0,0,0,0
1584763210,Measurement,BDot,0,0,0,0,0,0
1584763215,Measurement,BDot,0,0,0,0,0,0
1584763220,Actuation,BDot,0,0,0,0,0,0
1584763230,Actuation,BDot,0,0,0,0,0,0
1584763234,Actuation,BDot,0,0,0,0,0,0
1584763239,Measurement,BDot,0,0,0,0,0,0
1584763244,Measurement,BDot,0,0,0,0,0,0
1584763249,Actuation,BDot,0,0,0,0,0,0
1584763254,Actuation,BDot,0,0,0,0,0,0
1584763258,Actuation,BDot,0,0,0,0,0,0
1584763263,Measurement,BDot,0,0,0,0,0,0
1584763268,Measurement,BDot,0,0,0,0,0,0
1584763273,Measurement,BDot,0,0,0,0,0,0
1584763278,Actuation,BDot,0,0,0,0,0,0
1584763282,Actuation,BDot,0,0,0,0,0,0
1584763292,Measurement,BDot,0,0,0,0,0,0
1584763302,Measurement,BDot,0,0,0,0,0,0
1584763306,Actuation,BDot,0,0,0,0,0,0
1584763311,Actuation,BDot,0,0,0,0,0,0
1584763316,Actuation,BDot,0,0,0,0,0,0
1584763321,Measurement,BDot,0,0,0,0,0,0
1584763326,Measurement,BDot,0,0,0,0,0,0
1584763330,Measurement,BDot,0,0,0,0,0,0
1584763335,Actuation,BDot,0,0,0,0,0,0
1584763340,Actuation,BDot,0,0,0,0,0,0
1584763350,Measurement,BDot,0,0,0,0,0,0
1584763354,Actuation,BDot,0,0,0,0,0,0
1584763359,Measurement,BDot,0,0,0,0,0,0
1584763364,Actuation,BDot,0,0,0,0,0,0
1584763369,Actuation,BDot,0,0,0,0,0,0
1584763373,Actuation,BDot,0,0,0,0,0,0
1584763378,Measurement,BDot,0,0,0,0,0,0
1584763383,Measurement,BDot,0,0,0,0,0,0
1584763388,Measurement,BDot,0,0,0,0,0,0
1584763393,Actuation,BDot,0,0,0,0,0,0
1584763397,Actuation,BDot,0,0,0,0,0,0
1584763402,Actuation,BDot,0,0,0,0,0,0
1584763412,Measurement,BDot,0,0,0,0,0,0
1584763417,Actuation,BDot,0,0,0,0,0,0
1584763421,Actuation,BDot,0,0,0,0,0,0
1584763426,Actuation,BDot,0,0,0,0,0,0
1584763431,Actuation,BDot,0,0,0,0,0,0
1584763436,Measurement,BDot,0,0,0,0,0,0
1584763441,Measurement,BDot,0,0,0,0,0,0
1584763445,Measurement,BDot,0,0,0,0,0,0
1584763450,Actuation,BDot,0,0,0,0,0,0
1584763455,Actuation,BDot,0,0,0,0,0,0
1584763460,Actuation,BDot,0,0,0,0,0,0
1584763469,Measurement,BDot,0,0,0,0,0,0
1584763474,Measurement,BDot,0,0,0,0,0,0
1584763479,Actuation,BDot,0,0,0,0,0,0
1584763484,Actuation,BDot,0,0,0,0,0,0
1584763489,Actuation,BDot,0,0,0,0,0,0
1584763493,Measurement,BDot,0,0,0,0,0,0
1584763498,Measurement,BDot,0,0,0,0,0,0
1584763503,Measurement,BDot,0,0,0,0,0,0
1584763508,Actuation,BDot,0,0,0,0,0,0
1584763513,Actuation,BDot,0,0,0,0,0,0
1584763517,Actuation,BDot,0,0,0,0,0,0
1584763522,Measurement,BDot,0,0,0,0,0,0
1584763532,Measurement,BDot,0,0,0,0,0,0
1584763537,Measurement,BDot,0,0,0,0,0,0
1584763541,Actuation,BDot,0,0,0,0,0,0
1584763546,Actuation,BDot,0,0,0,0,0,0
1584763551,Measurement,BDot,0,0,0,0,0,0
1584763556,Measurement,BDot,0,0,0,0,0,0
1584763560,Measurement,BDot,0,0,0,0,0,0
1584763565,Actuation,BDot,0,0,0,0,0,0
1584763570,Actuation,BDot,0,0,0,0,0,0
1584763575,Actuation,BDot,0,0,0,0,0,0
1584763580,Measurement,BDot,0,0,0,0,0,0
1584763589,Measurement,BDot,0,0,0,0,0,0
1584763594,Measurement,BDot,0,0,0,0,0,0
1584763599,Actuation,BDot,0,0,0,0,0,0
1584763604,Actuation,BDot,0,0,0,0,0,0
1584763608,Measurement,BDot,0,0,0,0,0,0
1584763613,Measurement,BDot,0,0,0,0,0,0
1584763618,Actuation,BDot,0,0,0,0,0,0
1584763623,Actuation,BDot,0,0,0,0,0,0
1584763632,Actuation,BDot,0,0,0,0,0,0
1584763637,Measurement,BDot,0,0,0,0,0,0
1584763642,Measurement,BDot,0,0,0,0,0,0
1584763652,Actuation,BDot,0,0,0,0,0,0
1584763656,Measurement,BDot,0,0,0,0,0,0
1584763661,Measurement,BDot,0,0,0,0,0,0
1584763666,Measurement,BDot,0,0,0,0,0,0
1584763671,Measurement,BDot,0,0,0,0,0,0
1584763676,Actuation,BDot,0,0,0,0,0,0
1584763680,Actuation,BDot,0,0,0,0,0,0
1584763685,Actuation,BDot,0,0,0,0,0,0
1584763690,Measurement,BDot,0,0,0,0,0,0
1584763695,Measurement,BDot,0,0,0,0,0,0
1584763700,Measurement,BDot,0,0,0,0,0,0
1584763709,Actuation,BDot,0,0,0,0,0,0
1584763714,Actuation,BDot,0,0,0,0,0,0
1584763719,Measurement,BDot,0,0,0,0,0,0
1584763724,Measurement,BDot,0,0,0,0,0,0
1584763728,Measurement,BDot,0,0,0,0,0,0
1584763733,Actuation,BDot,0,0,0,0,0,0
1584763738,Actuation,BDot,0,0,0,0,0,0
1584763743,Actuation,BDot,0,0,0,0,0,0
1584763747,Measurement,BDot,0,0,0,0,0,0
1584763752,Measurement,BDot,0,0,0,0,0,0
1584763757,Measurement,BDot,0,0,0,0,0,0
1584763762,Actuation,BDot,0,0,0,0,0,0
1584763771,Actuation,BDot,0,0,0,0,0,0
1584768835,Measurement,BDot,0,0,0,0,0,0
1584768845,Actuation,BDot,0,0,0,0,0,0
1584768932,Actuation,BDot,0,0,0,0,0,0
1584768937,Measurement,BDot,0,0,0,0,0,0
1584768942,Actuation,BDot,0,0,0,0,0,0
1584768946,Measurement,BDot,0,0,0,0,0,0
1584768951,Measurement,BDot,0,0,0,0,0,0
1584768956,Measurement,BDot,0,0,0,0,0,0
1584768961,Actuation,BDot,0,0,0,0,0,0
1584768966,Actuation,BDot,0,0,0,0,0,0
1584768970,Actuation,BDot,0,0,0,0,0,0
1584768975,Measurement,BDot,0,0,0,0,0,0
1584768980,Measurement,BDot,0,0,0,0,0,0
1584768989,Actuation,BDot,0,0,0,0,0,0
1584768994,Measurement,BDot,0,0,0,0,0,0
1584768999,Actuation,BDot,0,0,0,0,0,0
1584769004,Measurement,BDot,0,0,0,0,0,0
1584769009,Measurement,BDot,0,0,0,0,0,0
1584769013,Measurement,BDot,0,0,0,0,0,0
1584769018,Actuation,BDot,0,0,0,0,0,0
1584769023,Actuation,BDot,0,0,0,0,0,0
1584769028,Actuation,BDot,0,0,0,0,0,0
1584769033,Measurement,BDot,0,0,0,0,0,0
1584769037,Measurement,BDot,0,0,0,0,0,0
1584769042,Measurement,BDot,0,0,0,0,0,0
1584769052,Actuation,BDot,0,0,0,0,0,0
1584769057,Measurement,BDot,0,0,0,0,0,0
1584769061,Measurement,BDot,0,0,0,0,0,0
1584769066,Measurement,BDot,0,0,0,0,0,0
1584769071,Actuation,BDot,0,0,0,0,0,0
1584769076,Actuation,BDot,0,0,0,0,0,0
1584769081,Actuation,BDot,0,0,0,0,0,0
1584769085,Actuation,BDot,0,0,0,0,0,0
1584769090,Measurement,BDot,0,0,0,0,0,0
1584769095,Measurement,BDot,0,0,0,0,0,0
1584769100,Actuation,BDot,0,0,0,0,0,0
1584769109,Actuation,BDot,0,0,0,0,0,0
1584769114,Actuation,BDot,0,0,0,0,0,0
1584769119,Measurement,BDot,0,0,0,0,0,0
1584769124,Measurement,BDot,0,0,0,0,0,0
1584769129,Actuation,BDot,0,0,0,0,0,0
1584769133,Actuation,BDot,0,0,0,0,0,0
1584769138,Actuation,BDot,0,0,0,0,0,0
1584769143,Measurement,BDot,0,0,0,0,0,0
1584769148,Measurement,BDot,0,0,0,0,0,0
1584769153,Measurement,BDot,0,0,0,0,0,0
1584769157,Actuation,BDot,0,0,0,0,0,0
1584769162,Actuation,BDot,0,0,0,0,0,0
1584769172,Measurement,BDot,0,0,0,0,0,0
1584769181,Measurement,BDot,0,0,0,0,0,0
1584769186,Actuation,BDot,0,0,0,0,0,0
1584769191,Actuation,BDot,0,0,0,0,0,0
1584769196,Actuation,BDot,0,0,0,0,0,0
1584769200,Measurement,BDot,0,0,0,0,0,0
1584769205,Measurement,BDot,0,0,0,0,0,0
1584769210,Measurement,BDot,0,0,0,0,0,0
1584769215,Actuation,BDot,0,0,0,0,0,0
1584769220,Actuation,BDot,0,0,0,0,0,0
1584769229,Measurement,BDot,0,0,0,0,0,0
1584769234,Actuation,BDot,0,0,0,0,0,0
1584769239,Measurement,BDot,0,0,0,0,0,0
1584769244,Actuation,BDot,0,0,0,0,0,0
1584769263,Measurement,BDot,0,0,0,0,0,0
1584769268,Measurement,BDot,0,0,0,0,0,0
1584769272,Actuation,BDot,0,0,0,0,0,0
1584769277,Actuation,BDot,0,0,0,0,0,0
1584769282,Actuation,BDot,0,0,0,0,0,0
1584769292,Measurement,BDot,0,0,0,0,0,0
1584769296,Actuation,BDot,0,0,0,0,0,0
1584769301,Actuation,BDot,0,0,0,0,0,0
1584769306,Actuation,BDot,0,0,0,0,0,0
1584769311,Actuation,BDot,0,0,0,0,0,0
1584769316,Measurement,BDot,0,0,0,0,0,0
1584769320,Measurement,BDot,0,0,0,0,0,0
1584769325,Measurement,BDot,0,0,0,0,0,0
1584769330,Actuation,BDot,0,0,0,0,0,0
1584769335,Actuation,BDot,0,0,0,0,0,0
1584769340,Actuation,BDot,0,0,0,0,0,0
1584769349,Measurement,BDot,0,0,0,0,0,0
1584769354,Measurement,BDot,0,0,0,0,0,0
1584769359,Actuation,BDot,0,0,0,0,0,0
1584769364,Actuation,BDot,0,0,0,0,0,0
1584769368,Actuation,BDot,0,0,0,0,0,0
1584769373,Measurement,BDot,0,0,0,0,0,0
