time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1584763119,32.98,33.48,33.24,Brownout (BOR),11
1584763182,32.98,33.73,33.48,Brownout (BOR),11
1584763239,32.98,33.98,33.75,Brownout (BOR),11
1584763302,32.98,34.23,33.92,Brownout (BOR),11
1584763359,32.98,34.23,33.95,Brownout (BOR),11
1584763421,32.98,34.23,33.94,Brownout (BOR),11
1584763479,32.98,34.23,33.86,Brownout (BOR),11
1584763541,32.98,34.23,33.82,Brownout (BOR),11
1584763599,32.98,34.23,33.68,Brownout (BOR),11
1584763661,32.98,34.23,33.57,Brownout (BOR),11
1584763719,32.98,34.23,33.4,Brownout (BOR),11
1584763837,32.73,34.23,33.06,Brownout (BOR),11
1584763895,32.73,34.23,32.88,Brownout (BOR),11
1584767015,27.01,34.23,30.46,Brownout (BOR),11
1584767073,27.01,34.23,30.67,Brownout (BOR),11
1584767145,27.01,34.23,30.89,Brownout (BOR),11
1584767202,27.01,34.23,31.13,Brownout (BOR),11
1584767274,27.01,34.23,31.32,Brownout (BOR),11
1584767317,27.01,34.23,31.51,Brownout (BOR),11
1584768813,27.01,35.22,34.75,Brownout (BOR),11
1584768942,27.01,35.22,34.94,Brownout (BOR),11
1584768999,27.01,35.22,34.93,Brownout (BOR),11
1584769061,27.01,35.22,34.86,Brownout (BOR),11
1584769119,27.01,35.22,34.76,Brownout (BOR),11
1584769181,27.01,35.22,34.69,Brownout (BOR),11
1584769239,27.01,35.22,34.51,Brownout (BOR),11
1584769301,27.01,35.22,34.36,Brownout (BOR),11
1584769359,27.01,35.22,34.21,Brownout (BOR),11
1584769421,27.01,35.22,34.04,Brownout (BOR),11
1584769541,27.01,35.22,33.59,Brownout (BOR),11
1584769661,27.01,35.22,33.17,Brownout (BOR),11
1584769718,27.01,35.22,32.94,Brownout (BOR),11
1584769784,27.01,35.22,32.77,Brownout (BOR),11
1584769842,27.01,35.22,32.49,Brownout (BOR),11
1584769899,27.01,35.22,32.26,Brownout (BOR),11
1584772775,27.01,35.22,31.75,Brownout (BOR),11
1584772977,27.01,35.22,32.1,Brownout (BOR),11
1584773020,27.01,35.22,32.22,Brownout (BOR),11
1584773135,27.01,35.22,32.49,Brownout (BOR),11
1584774702,27.01,35.47,35.01,Brownout (BOR),11
1584774760,27.01,35.47,34.89,Brownout (BOR),11
1584774817,27.01,35.47,34.75,Brownout (BOR),11
1584774875,27.01,35.47,34.63,Brownout (BOR),11
1584774947,27.01,35.47,34.44,Brownout (BOR),11
1584775004,27.01,35.47,34.24,Brownout (BOR),11
1584775076,27.01,35.47,34.17,Brownout (BOR),11
1584775134,27.01,35.47,34.16,Brownout (BOR),11
1584775177,27.01,35.47,34.02,Brownout (BOR),11
1584775249,27.01,35.47,33.89,Brownout (BOR),11
1584775306,27.01,35.47,33.67,Brownout (BOR),11
1584775378,27.01,35.47,33.5,Brownout (BOR),11
1584775421,27.01,35.47,33.29,Brownout (BOR),11
1584775479,27.01,35.47,32.99,Brownout (BOR),11
1584775536,27.01,35.47,32.73,Brownout (BOR),11
1584775594,27.01,35.47,32.46,Brownout (BOR),11
1584775666,27.01,35.47,32.23,Brownout (BOR),11
1584775723,27.01,35.47,31.95,Brownout (BOR),11
1584779563,27.01,35.47,34.9,Brownout (BOR),11
1584779621,27.01,35.47,34.98,Brownout (BOR),11
1584779678,27.01,35.47,35.04,Brownout (BOR),11
1584779793,27.01,35.72,35.48,Brownout (BOR),11
1584779865,27.01,35.97,35.69,Brownout (BOR),11
1584779923,27.01,36.22,35.85,Brownout (BOR),11
