time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1582989776,8.24,8.24,8.24,Brownout (BOR),50
1582989833,8.0,8.97,8.49,Brownout (BOR),50
1582989896,8.0,9.71,9.3,Brownout (BOR),50
1582989953,8.0,10.68,10.15,Brownout (BOR),50
1582990016,8.0,11.42,11.0,Brownout (BOR),50
1582990073,8.0,11.66,11.45,Brownout (BOR),50
1582990136,8.0,11.91,11.73,Brownout (BOR),50
1582990193,8.0,11.91,11.83,Brownout (BOR),50
1582990255,8.0,11.91,11.86,Brownout (BOR),50
1582990313,8.0,12.15,11.95,Brownout (BOR),50
1582990375,8.0,12.4,12.12,Brownout (BOR),50
1582990433,8.0,12.64,12.33,Brownout (BOR),50
1582990495,8.0,12.88,12.59,Brownout (BOR),50
1582995359,8.0,29.75,9.17,Brownout (BOR),50
1582995417,8.0,29.75,9.1,Brownout (BOR),50
1582995475,8.0,29.75,9.22,Brownout (BOR),50
1582995533,8.0,29.75,9.48,Brownout (BOR),50
1582995595,8.0,29.75,9.82,Brownout (BOR),50
1583074073,9.46,9.95,9.84,Brownout (BOR),51
1583074136,9.46,10.44,10.24,Brownout (BOR),51
1583074193,9.46,11.17,10.75,Brownout (BOR),51
1583074256,9.46,11.66,11.34,Brownout (BOR),51
1583074313,9.46,12.15,11.77,Brownout (BOR),51
1583074375,9.46,12.4,12.08,Brownout (BOR),51
1583074433,9.46,12.64,12.36,Brownout (BOR),51
1583074495,9.46,13.13,12.72,Brownout (BOR),51
1583074553,9.46,13.37,13.15,Brownout (BOR),51
1583074615,9.46,13.86,13.62,Brownout (BOR),51
1583074673,9.46,14.35,14.11,Brownout (BOR),51
1583074735,9.46,15.08,14.59,Brownout (BOR),51
1583074793,9.46,15.57,15.13,Brownout (BOR),51
1583074855,9.46,15.82,15.56,Brownout (BOR),51
1583074925,9.46,16.06,15.89,Brownout (BOR),51
1583078765,9.46,32.2,15.83,Brownout (BOR),51
1583078823,9.46,32.2,15.31,Brownout (BOR),51
1583079053,9.46,32.2,13.38,Brownout (BOR),51
1583249034,8.48,8.97,8.66,Brownout (BOR),52
1583249096,8.48,9.46,9.13,Brownout (BOR),52
1583249154,8.48,9.95,9.64,Brownout (BOR),52
1583249216,8.48,10.68,10.1,Brownout (BOR),52
1583249274,8.48,10.93,10.55,Brownout (BOR),52
1583249336,8.48,11.42,11.01,Brownout (BOR),52
1583249394,8.48,11.91,11.55,Brownout (BOR),52
1583249456,8.48,12.64,12.14,Brownout (BOR),52
1583249524,8.48,13.37,12.99,Brownout (BOR),52
1583249581,8.48,14.11,13.67,Brownout (BOR),52
1583249639,8.48,14.35,14.14,Brownout (BOR),52
1583249696,8.48,14.84,14.53,Brownout (BOR),52
1583249754,8.48,15.33,15.03,Brownout (BOR),52
1583253536,8.48,30.24,15.5,Brownout (BOR),52
1583253593,8.48,30.24,15.01,Brownout (BOR),52
1583253723,8.48,30.24,13.99,Brownout (BOR),52
1583254615,8.48,30.24,9.46,Brownout (BOR),52
1583254734,8.48,30.24,11.05,Brownout (BOR),52
1583997114,18.75,19.24,19.08,Brownout (BOR),53
