time,X1,Y1,G1,G2,G3,G4,G5,G6,G7,G8,G9,GA,Checksum
1581204325,3,28,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x2f
1581204330,7,32,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x6f
1581204335,11,56,0xc,0xc,0xc,0xc,0x9,0x4,0x2,0x2,0xa,0xa,0xac
1581204340,15,60,0x5,0x3,0x2,0x2,0xa,0xa,0xa,0xa,0xa,0xb,0xec
1581204345,20,0,0x9,0x9,0xa,0xa,0xa,0xa,0xb,0xb,0xb,0xb,0xe5
1581204349,24,4,0xa,0xa,0xa,0xa,0xb,0xb,0xb,0xb,0xb,0xc,0xdb
1581204354,28,8,0xa,0xa,0xb,0xb,0xb,0xb,0xb,0xb,0xb,0xc,0xa4
1581204359,32,32,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xce
1581204364,36,36,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xf
1581204369,40,60,0x1,0x1,0x1,0x1,0x9,0x9,0x9,0x9,0x9,0x9,0x22
1581204373,45,0,0xb,0xc,0xc,0xb,0xa,0xa,0xb,0xa,0xa,0xa,0x8b
1581204378,49,24,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xad
1581204383,53,18,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xd9
1581204388,57,32,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x2e
1581204392,61,46,0xc,0xb,0x5,0x3,0x2,0x2,0x1,0x1,0x1,0x1,0xbe
1581204397,65,50,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x0,0xfb
1581204402,70,10,0xc,0xb,0xb,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x69
1581204407,74,14,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xf8
1581204412,78,28,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x4d
1581204416,82,32,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x8,0x5,0x4,0x2b
1581204421,86,56,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x5,0x5,0xd3
1581204426,90,60,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x7a
1581204431,95,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x37
1581204436,2,12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x34
1581204440,6,16,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x74
1581204445,10,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc8
1581204450,14,34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x9
1581204455,18,38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x49
1581204460,22,62,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xb1
1581204464,27,12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x93
1581204469,31,36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xfb
1581204474,35,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x28
1581204479,39,34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x68
1581204484,43,58,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xd0
1581204488,47,62,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x11
1581204493,52,22,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x7
1581204498,56,26,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x47
1581204503,60,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x87
1581204508,64,44,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdb
1581204512,68,48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1c
1581204517,73,8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12
1581204522,77,12,0x4,0x4,0x4,0x4,0x4,0x4,0x5,0x5,0x5,0x5,0x74
1581204527,81,36,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0x87
