time,Mag1_Y_Avg,Mag1_Z_Min,Mag1_Z_Max,Mag1_Z_Avg
1587759794,-8.287671232876713,-7.260273972602739,-6.972602739726027,-7.164383561643835
1587759856,-8.561643835616438,-7.068493150684931,-5.36986301369863,-6.328767123287672
1587759914,-9.095890410958905,-5.3561643835616435,-2.8767123287671232,-4.109589041095891
1587759976,-9.068493150684931,-2.8904109589041096,-1.6712328767123288,-2.095890410958904
1587760033,-8.835616438356164,-3.0273972602739727,-1.6712328767123288,-2.1232876712328768
1587760096,-8.73972602739726,-6.328767123287672,-3.0273972602739727,-4.616438356164384
1587760153,-7.136986301369863,-8.67123287671233,-6.2465753424657535,-7.698630136986301
1587760216,-5.397260273972603,-8.904109589041095,-8.397260273972602,-8.726027397260275
1587760273,-6.493150684931507,-8.383561643835616,-6.36986301369863,-7.465753424657534
1587760336,-7.3561643835616435,-6.36986301369863,-3.8767123287671232,-5.123287671232877
