time,Mag2_Y_Max,Mag2_Y_Avg,Mag2_Z_Min,Mag2_Z_Max
1587759794,-8.506849315068493,-8.616438356164384,-5.534246575342466,-5.2465753424657535
1587759856,-8.73972602739726,-8.904109589041095,-5.342465753424658,-3.6164383561643834
1587759914,-9.164383561643836,-9.452054794520548,-3.6164383561643834,-1.1506849315068493
1587759976,-9.150684931506849,-9.41095890410959,-1.1369863013698631,0.0684931506849315
1587760033,-9.123287671232877,-9.178082191780822,-1.3013698630136987,0.0821917808219178
1587760096,-8.547945205479452,-9.082191780821917,-4.616438356164384,-1.3013698630136987
1587760153,-6.287671232876712,-7.438356164383562,-6.986301369863014,-4.63013698630137
1587760216,-5.438356164383562,-5.657534246575342,-7.219178082191781,-6.698630136986301
1587760273,-5.684931506849315,-6.780821917808219,-6.698630136986301,-4.671232876712328
1587760336,-7.178082191780822,-7.684931506849315,-4.671232876712328,-2.1506849315068495
