time,IMU_Z_Max,IMU_Z_Avg,I2C_Result_Mag1,I2C_Resumt_Mag2,I2C_Result_IMU,I2C_Result_Sun
1587759794,0.43312500000000004,-1.7893750000000002,No_Error,32,255,255
1587759856,-1.1375000000000002,-1.4831250000000002,No_Error,No_Error,59,206
1587759914,-0.60375,-0.8662500000000001,37,32,255,255
1587759976,-0.55125,-0.63875,59,217,No_Error,No_Error
1587760033,-0.7000000000000001,-0.9100000000000001,No_Error,32,255,255
1587760096,-1.0237500000000002,-1.1243750000000001,No_Error,32,255,255
1587760153,-1.0762500000000002,-1.159375,No_Error,32,255,255
1587760216,0.60375,-1.4262500000000002,205,32,255,255
1587760273,-1.65375,-1.9118750000000002,20,32,255,255
1587760336,-1.229375,-1.710625,No_Error,32,255,255
