time,Temperature_Min,Temperature_Max,Temperature_Avg,Last_Reset_Cause,Reset_Count
1587759741,25.82,26.07,26.01,Brownout (BOR),5
1587759813,25.82,26.31,26.17,Brownout (BOR),5
1587759875,25.82,26.8,26.43,Brownout (BOR),5
1587759933,25.82,27.05,26.72,Brownout (BOR),5
1587760053,25.82,27.29,27.17,Brownout (BOR),5
1587760110,25.82,27.54,27.4,Brownout (BOR),5
1587760168,25.82,27.79,27.63,Brownout (BOR),5
1587760235,25.82,28.28,27.87,Brownout (BOR),5
1587760355,25.82,28.52,28.34,Brownout (BOR),5
1587765576,25.82,34.91,28.58,Brownout (BOR),5
1587765634,25.82,34.91,28.67,Brownout (BOR),5
1587765691,25.82,34.91,28.78,Brownout (BOR),5
1587765821,25.82,34.91,29.0,Brownout (BOR),5
1587765892,25.82,34.91,29.14,Brownout (BOR),5
1587771401,25.82,34.91,29.25,Brownout (BOR),5
1587782259,25.82,34.91,28.87,Brownout (BOR),5
1587782331,25.82,34.91,28.97,Brownout (BOR),5
1587782374,25.82,34.91,29.07,Brownout (BOR),5
1587788141,25.82,34.91,27.78,Brownout (BOR),5
1587788198,25.82,34.91,27.88,Brownout (BOR),5
1587788270,25.82,34.91,27.98,Brownout (BOR),5
1587792757,25.82,34.91,26.24,Brownout (BOR),5
1587792815,25.82,34.91,26.05,Brownout (BOR),5
1587792887,25.58,34.91,25.91,Brownout (BOR),5
1587795346,25.08,34.91,28.78,Brownout (BOR),5
1587798338,25.08,34.91,25.42,Brownout (BOR),5
1587798410,25.08,34.91,25.33,Brownout (BOR),5
1587798453,25.08,34.91,25.24,Brownout (BOR),5
1587798510,24.84,34.91,25.13,Brownout (BOR),5
1587798582,24.59,34.91,25.02,Brownout (BOR),5
1587798640,24.59,34.91,24.92,Brownout (BOR),5
1587798697,24.59,34.91,24.86,Brownout (BOR),5
1587798755,24.59,34.91,24.83,Brownout (BOR),5
1587798812,24.59,34.91,24.83,Brownout (BOR),5
1587798884,24.59,34.91,24.77,Brownout (BOR),5
1587800797,24.59,34.91,29.3,Brownout (BOR),5
1587800854,24.59,34.91,29.54,Brownout (BOR),5
1587800926,24.59,34.91,29.78,Brownout (BOR),5
1587800970,24.59,34.91,30.1,Brownout (BOR),5
1587801041,24.59,34.91,30.31,Brownout (BOR),5
1587801099,24.59,34.91,30.57,Brownout (BOR),5
1587801156,24.59,34.91,30.82,Brownout (BOR),5
1587803616,24.59,34.91,28.44,Brownout (BOR),5
1587804162,24.59,34.91,27.31,Brownout (BOR),5
1587804220,24.59,34.91,27.27,Brownout (BOR),5
1587804292,24.59,34.91,27.25,Brownout (BOR),5
1587804335,24.59,34.91,27.22,Brownout (BOR),5
1587804392,24.59,34.91,27.2,Brownout (BOR),5
1587804450,24.59,34.91,27.19,Brownout (BOR),5
1587804522,24.59,34.91,27.13,Brownout (BOR),5
1587804579,24.59,34.91,27.14,Brownout (BOR),5
1587804637,24.59,34.91,27.15,Brownout (BOR),5
1587804694,24.59,34.91,27.17,Brownout (BOR),5
1587804752,24.59,34.91,27.22,Brownout (BOR),5
1587804809,24.59,34.91,27.28,Brownout (BOR),5
1587806550,24.59,34.91,31.86,Brownout (BOR),5
1587806621,24.59,34.91,32.12,Brownout (BOR),5
1587806679,24.59,34.91,32.32,Brownout (BOR),5
1587806751,24.59,34.91,32.57,Brownout (BOR),5
1587806794,24.59,34.91,32.77,Brownout (BOR),5
1587806866,24.59,34.91,32.93,Brownout (BOR),5
1587806909,24.59,34.91,33.11,Brownout (BOR),5
1587806981,24.59,34.91,33.21,Brownout (BOR),5
1587807039,24.59,34.91,33.38,Brownout (BOR),5
1587809066,24.59,34.91,30.1,Brownout (BOR),5
1587809138,24.59,34.91,29.85,Brownout (BOR),5
1587809196,24.59,34.91,29.62,Brownout (BOR),5
1587809268,24.59,34.91,29.39,Brownout (BOR),5
1587809325,24.59,34.91,29.29,Brownout (BOR),5
1587809383,24.59,34.91,29.18,Brownout (BOR),5
1587809440,24.59,34.91,29.05,Brownout (BOR),5
1587810102,24.59,34.91,28.3,Brownout (BOR),5
1587810159,24.59,34.91,28.29,Brownout (BOR),5
1587810217,24.59,34.91,28.26,Brownout (BOR),5
1587810274,24.59,34.91,28.26,Brownout (BOR),5
1587810346,24.59,34.91,28.27,Brownout (BOR),5
1587810390,24.59,34.91,28.28,Brownout (BOR),5
1587810461,24.59,34.91,28.33,Brownout (BOR),5
1587810519,24.59,34.91,28.38,Brownout (BOR),5
1587810576,24.59,34.91,28.47,Brownout (BOR),5
1587810692,24.59,34.91,28.66,Brownout (BOR),5
1587812676,24.59,34.91,34.75,Brownout (BOR),5
1587812748,24.59,35.15,34.88,Brownout (BOR),5
1587812791,24.59,35.15,34.91,Brownout (BOR),5
1587812849,24.59,35.15,35.01,Brownout (BOR),5
1587814848,24.59,35.4,30.29,Brownout (BOR),5
1587814891,24.59,35.4,30.13,Brownout (BOR),5
1587814949,24.59,35.4,29.93,Brownout (BOR),5
1587815020,24.59,35.4,29.81,Brownout (BOR),5
1587815078,24.59,35.4,29.66,Brownout (BOR),5
1587815135,24.59,35.4,29.51,Brownout (BOR),5
1587815193,24.59,35.4,29.34,Brownout (BOR),5
1587815265,24.59,35.4,29.17,Brownout (BOR),5
1587815308,24.59,35.4,29.03,Brownout (BOR),5
1587815380,24.59,35.4,28.87,Brownout (BOR),5
1587815437,24.59,35.4,28.68,Brownout (BOR),5
1587815509,24.59,35.4,28.53,Brownout (BOR),5
1587815553,24.59,35.4,28.39,Brownout (BOR),5
1587815610,24.59,35.4,28.26,Brownout (BOR),5
1587815682,24.59,35.4,28.21,Brownout (BOR),5
1587815926,24.59,35.4,27.96,Brownout (BOR),5
1587815984,24.59,35.4,27.95,Brownout (BOR),5
1587816042,24.59,35.4,27.94,Brownout (BOR),5
1587816099,24.59,35.4,27.99,Brownout (BOR),5
1587816228,24.59,35.4,28.12,Brownout (BOR),5
1587818745,24.59,35.89,35.66,Brownout (BOR),5
1587818803,24.59,35.89,35.66,Brownout (BOR),5
1587820658,24.59,35.89,31.06,Brownout (BOR),5
1587820730,24.59,35.89,30.78,Brownout (BOR),5
1587820773,24.59,35.89,30.58,Brownout (BOR),5
1587820831,24.59,35.89,30.45,Brownout (BOR),5
1587820903,24.59,35.89,30.31,Brownout (BOR),5
1587820960,24.59,35.89,30.25,Brownout (BOR),5
1587821018,24.59,35.89,30.24,Brownout (BOR),5
1587821075,24.59,35.89,30.18,Brownout (BOR),5
1587821133,24.59,35.89,30.14,Brownout (BOR),5
1587821190,24.59,35.89,30.07,Brownout (BOR),5
1587821262,24.59,35.89,30.02,Brownout (BOR),5
1587821320,24.59,35.89,29.97,Brownout (BOR),5
1587821377,24.59,35.89,29.95,Brownout (BOR),5
1587821435,24.59,35.89,29.95,Brownout (BOR),5
1587821492,24.59,35.89,29.95,Brownout (BOR),5
1587824440,24.59,38.1,37.84,Brownout (BOR),5
1587824498,24.59,38.1,37.77,Brownout (BOR),5
1587824555,24.59,38.1,37.66,Brownout (BOR),5
1587824613,24.59,38.1,37.59,Brownout (BOR),5
1587824670,24.59,38.1,37.48,Brownout (BOR),5
1587824742,24.59,38.1,37.36,Brownout (BOR),5
1587824800,24.59,38.1,37.21,Brownout (BOR),5
1587824857,24.59,38.1,37.1,Brownout (BOR),5
1587824929,24.59,38.1,36.96,Brownout (BOR),5
1587826468,24.59,38.1,31.97,Brownout (BOR),5
1587826540,24.59,38.1,31.92,Brownout (BOR),5
1587826598,24.59,38.1,31.95,Brownout (BOR),5
1587826670,24.59,38.1,31.93,Brownout (BOR),5
1587826727,24.59,38.1,31.93,Brownout (BOR),5
1587826770,24.59,38.1,31.93,Brownout (BOR),5
1587826842,24.59,38.1,31.83,Brownout (BOR),5
1587826900,24.59,38.1,31.73,Brownout (BOR),5
1587826957,24.59,38.1,31.67,Brownout (BOR),5
1587827015,24.59,38.1,31.59,Brownout (BOR),5
1587827072,24.59,38.1,31.47,Brownout (BOR),5
1587827130,24.59,38.1,31.37,Brownout (BOR),5
1587827202,24.59,38.1,31.31,Brownout (BOR),5
1587827259,24.59,38.1,31.27,Brownout (BOR),5
1587827317,24.59,38.1,31.29,Brownout (BOR),5
1587830265,24.59,38.1,36.09,Brownout (BOR),5
1587830308,24.59,38.1,36.07,Brownout (BOR),5
1587830380,24.59,38.1,35.98,Brownout (BOR),5
1587830553,24.59,38.1,35.65,Brownout (BOR),5
1587830610,24.59,38.1,35.5,Brownout (BOR),5
1587830740,24.59,38.1,35.25,Brownout (BOR),5
1587832235,24.59,38.1,30.49,Brownout (BOR),5
1587832293,24.59,38.1,30.37,Brownout (BOR),5
1587832350,24.59,38.1,30.26,Brownout (BOR),5
1587832408,24.59,38.1,30.2,Brownout (BOR),5
1587832480,24.59,38.1,30.08,Brownout (BOR),5
1587832537,24.59,38.1,29.98,Brownout (BOR),5
1587832609,24.59,38.1,29.91,Brownout (BOR),5
1587832667,24.59,38.1,29.91,Brownout (BOR),5
1587832710,24.59,38.1,29.88,Brownout (BOR),5
1587832782,24.59,38.1,29.9,Brownout (BOR),5
1587832854,24.59,38.1,29.93,Brownout (BOR),5
1587832897,24.59,38.1,29.96,Brownout (BOR),5
1587832969,24.59,38.1,30.03,Brownout (BOR),5
1587833012,24.59,38.1,30.12,Brownout (BOR),5
1587833069,24.59,38.1,30.21,Brownout (BOR),5
1587833141,24.59,38.1,30.29,Brownout (BOR),5
1587833199,24.59,38.1,30.39,Brownout (BOR),5
1587833256,24.59,38.1,30.51,Brownout (BOR),5
1587833314,24.59,38.1,30.67,Brownout (BOR),5
1587833386,24.59,38.1,30.79,Brownout (BOR),5
1587833429,24.59,38.1,30.98,Brownout (BOR),5
1587838117,24.59,38.1,29.61,Brownout (BOR),5
1587838175,24.59,38.1,29.45,Brownout (BOR),5
1587838233,24.59,38.1,29.32,Brownout (BOR),5
1587838290,24.59,38.1,29.25,Brownout (BOR),5
1587838362,24.59,38.1,29.19,Brownout (BOR),5
1587838420,24.59,38.1,29.14,Brownout (BOR),5
1587838477,24.59,38.1,29.11,Brownout (BOR),5
1587838535,24.59,38.1,29.16,Brownout (BOR),5
1587838592,24.59,38.1,29.17,Brownout (BOR),5
1587838650,24.59,38.1,29.23,Brownout (BOR),5
1587838722,24.59,38.1,29.29,Brownout (BOR),5
1587838779,24.59,38.1,29.33,Brownout (BOR),5
1587838837,24.59,38.1,29.41,Brownout (BOR),5
1587838894,24.59,38.1,29.5,Brownout (BOR),5
1587838966,24.59,38.1,29.59,Brownout (BOR),5
1587839024,24.59,38.1,29.72,Brownout (BOR),5
1587839081,24.59,38.1,29.84,Brownout (BOR),5
1587839139,24.59,38.1,30.02,Brownout (BOR),5
1587839196,24.59,38.1,30.2,Brownout (BOR),5
1587844089,24.59,38.1,29.61,Brownout (BOR),5
1587844161,24.59,38.1,29.59,Brownout (BOR),5
1587844204,24.59,38.1,29.66,Brownout (BOR),5
1587844276,24.59,38.1,29.72,Brownout (BOR),5
1587844333,24.59,38.1,29.78,Brownout (BOR),5
1587844405,24.59,38.1,29.84,Brownout (BOR),5
1587844463,24.59,38.1,29.93,Brownout (BOR),5
1587844520,24.59,38.1,30.05,Brownout (BOR),5
1587844578,24.59,38.1,30.15,Brownout (BOR),5
1587844635,24.59,38.1,30.21,Brownout (BOR),5
1587844693,24.59,38.1,30.34,Brownout (BOR),5
1587844750,24.59,38.1,30.44,Brownout (BOR),5
1587844808,24.59,38.1,30.57,Brownout (BOR),5
1587844865,24.59,38.1,30.7,Brownout (BOR),5
1587850028,24.59,38.1,28.35,Brownout (BOR),5
1587850086,24.59,38.1,28.36,Brownout (BOR),5
1587850158,24.59,38.1,28.37,Brownout (BOR),5
1587850215,24.59,38.1,28.44,Brownout (BOR),5
1587850273,24.59,38.1,28.48,Brownout (BOR),5
1587850330,24.59,38.1,28.52,Brownout (BOR),5
1587854889,24.59,38.1,26.26,Brownout (BOR),5
1587854947,24.59,38.1,26.18,Brownout (BOR),5
1587855019,24.59,38.1,26.09,Brownout (BOR),5
1587855925,24.59,38.1,26.89,Brownout (BOR),5
1587855968,24.59,38.1,27.09,Brownout (BOR),5
1587860829,24.59,38.1,29.54,Brownout (BOR),5
1587860901,24.59,38.1,29.56,Brownout (BOR),5
1587866654,24.59,38.1,27.74,Brownout (BOR),5
1587866711,24.59,38.1,27.79,Brownout (BOR),5
1587866769,24.59,38.1,27.85,Brownout (BOR),5
1587866841,24.59,38.1,27.92,Brownout (BOR),5
1587866898,24.59,38.1,28.05,Brownout (BOR),5
1587866956,24.59,38.1,28.16,Brownout (BOR),5
1587867128,24.59,38.1,28.53,Brownout (BOR),5
1587872766,24.59,38.1,27.27,Brownout (BOR),5
1587872838,24.59,38.1,27.36,Brownout (BOR),5
1587877224,24.59,38.1,29.03,Brownout (BOR),5
1587877267,24.59,38.1,28.94,Brownout (BOR),5
1587877339,24.59,38.1,28.87,Brownout (BOR),5
1587877397,24.59,38.1,28.79,Brownout (BOR),5
1587882790,24.59,38.1,27.53,Brownout (BOR),5
1587882847,24.59,38.1,27.41,Brownout (BOR),5
1587882962,24.59,38.1,27.26,Brownout (BOR),5
1587883092,24.59,38.1,27.09,Brownout (BOR),5
1587883164,24.59,38.1,26.99,Brownout (BOR),5
1587883207,24.59,38.1,26.89,Brownout (BOR),5
1587883264,24.59,38.1,26.81,Brownout (BOR),5
1587883336,24.59,38.1,26.7,Brownout (BOR),5
1587883509,24.59,38.1,26.59,Brownout (BOR),5
1587885307,24.59,38.1,30.7,Brownout (BOR),5
1587885364,24.59,38.1,30.92,Brownout (BOR),5
1587885436,24.59,38.1,31.14,Brownout (BOR),5
1587885494,24.59,38.1,31.35,Brownout (BOR),5
1587885565,24.59,38.1,31.66,Brownout (BOR),5
1587888125,24.59,38.1,29.5,Brownout (BOR),5
1587888672,24.59,38.1,28.3,Brownout (BOR),5
1587888729,24.59,38.1,28.26,Brownout (BOR),5
1587888787,24.59,38.1,28.15,Brownout (BOR),5
1587888845,24.59,38.1,28.09,Brownout (BOR),5
1587888916,24.59,38.1,28.0,Brownout (BOR),5
1587888974,24.59,38.1,27.92,Brownout (BOR),5
1587889032,24.59,38.1,27.85,Brownout (BOR),5
1587889103,24.59,38.1,27.79,Brownout (BOR),5
1587889147,24.59,38.1,27.76,Brownout (BOR),5
1587889218,24.59,38.1,27.76,Brownout (BOR),5
1587891016,24.59,38.1,32.4,Brownout (BOR),5
