time,Mode
1580512006,Safe
1580512070,Safe
1580512134,Safe
1580512198,Safe
1580512262,Safe
1580512326,Safe
1580512390,Safe
1580512454,Safe
1580512518,Safe
1580512582,Safe
1580512646,Safe
1580512710,Safe
1580512774,Safe
1580513030,Safe
1580513094,Safe
1580513350,Safe
1580513414,Safe
1580513478,Safe
1580513542,Safe
1580513606,Safe
1580513670,Safe
1580513734,Safe
1580513798,Safe
1580513862,Safe
1580513926,Safe
1580513990,Safe
1580514054,Safe
1580514118,Safe
1580514182,Safe
1580514246,Safe
1580514310,Safe
1580514374,Safe
1580514438,Safe
1580514502,Safe
1580514566,Safe
1580514630,Safe
1580514694,Safe
1580514758,Safe
1580514822,Safe
1580514886,Safe
1580514950,Safe
1580515014,Safe
1580515078,Safe
1580515142,Safe
1580515206,Safe
1580515270,Safe
1580515334,Safe
1580515398,Safe
1580515462,Safe
1580515526,Safe
1580515590,Safe
1580515654,Safe
1580515718,Safe
1580515782,Safe
1580515846,Safe
1580515910,Safe
1580515974,Safe
1580516038,Safe
1580516102,Safe
1580516166,Safe
1580516230,Safe
1580516294,Safe
1580516358,Safe
1580516422,Safe
1580516486,Safe
1580516550,Safe
1580516614,Safe
1580516678,Safe
1580516742,Safe
1580516806,Safe
1580516870,Safe
1580516934,Real-Time
1580516998,Real-Time
1580517062,Real-Time
1580517126,Real-Time
1580517190,Real-Time
1580517254,Real-Time
1580517311,Health
1580517318,Health
1580517382,Health
1580517446,Health
1580517483,Health
1580517498,Health
1580517510,Health
1580517574,Health
1580517584,Health
1580517598,Health
1580517613,Health
1580517638,Health
1580517685,Health
1580517702,Health
1580517742,Health
1580517766,Health
1580517771,Health
1580517800,Health
1580517814,Health
1580517830,Health
1580517894,Health
1580517958,Health
1580518022,Health
1580518086,Health
1580518150,Health
1580518214,Health
1580518278,Health
1580518342,Health
1580518406,Health
1580518470,Health
1580518534,Health
1580518598,Health
1580518662,Health
1580518726,Health
1580518790,Health
1580518854,Health
1580518918,Health
1580518982,Health
1580519046,Health
1580519110,Health
1580519174,Health
1580519238,Health
1580519302,Health
1580519366,Health
1580519430,Health
1580519494,Health
1580519558,Health
1580519622,Health
1580519686,Health
1580519750,Health
1580519814,Health
1580519878,Health
1580519942,Health
1580520006,Health
1580520070,Health
1580520134,Health
1580520198,Health
1580520262,Health
1580520326,Health
1580520390,Health
1580520454,Health
1580520518,Health
1580520582,Health
1580520646,Health
1580520710,Health
1580520774,Health
1580520838,Health
1580520902,Health
1580520966,Health
1580521030,Health
1580521094,Health
1580521158,Health
1580521222,Health
1580521286,Health
1580521350,Health
1580521414,Health
1580521478,Health
1580521542,Health
1580521606,Health
1580521670,Health
1580521734,Health
1580521798,Health
1580521862,Health
1580521926,Health
1580521990,Health
1580522054,Health
1580522118,Health
1580522182,Health
1580522246,Health
1580522310,Health
1580522374,Health
1580522438,Health
1580522502,Health
1580522566,Health
1580522630,Health
1580522694,Health
1580522758,Health
1580522822,Health
1580522886,Health
1580522934,Health
1580522948,Health
1580522950,Health
1580522962,Health
1580522977,Health
1580522991,Health
1580523014,Health
1580523034,Health
1580523049,Health
1580523063,Health
1580523077,Health
1580523078,Health
1580523092,Health
1580523106,Health
1580523121,Health
1580523135,Health
1580523142,Health
1580523149,Health
1580523164,Health
1580523178,Health
1580523193,Health
1580523206,Health
1580523207,Health
1580523221,Health
1580523236,Health
1580523264,Health
1580523270,Health
1580523293,Health
1580523322,Health
1580523334,Health
1580523336,Health
1580523351,Health
1580523379,Health
1580523394,Health
1580523398,Health
1580523408,Health
1580523423,Health
1580523437,Health
1580523451,Health
1580523462,Health
1580523466,Health
1580523480,Health
1580523495,Health
1580523509,Health
1580523523,Health
1580523526,Health
1580523538,Health
1580523552,Health
1580523566,Health
1580523581,Health
1580523590,Health
1580523595,Health
1580523610,Health
1580523624,Health
1580523638,Health
1580523653,Health
1580523654,Health
1580523667,Health
1580523681,Health
1580523710,Health
1580523718,Health
1580523725,Health
1580523768,Health
1580523782,Health
1580523797,Health
1580523825,Health
1580523846,Health
1580523910,Health
1580523974,Health
1580524038,Health
1580524102,Health
1580524166,Health
1580524230,Health
1580524294,Health
1580524358,Health
1580524422,Health
1580524486,Health
1580524550,Health
1580524614,Health
1580524678,Health
1580524742,Health
1580524806,Health
1580524870,Health
1580524934,Health
1580524998,Health
1580525062,Health
1580525126,Health
1580525190,Health
1580525254,Health
1580525318,Health
1580525382,Health
1580525446,Health
1580525510,Health
1580525574,Health
1580525638,Health
1580525702,Health
1580525766,Health
1580525830,Health
1580525894,Health
1580525958,Health
1580526022,Health
1580526086,Health
1580526150,Health
1580526214,Health
1580526278,Health
1580526342,Health
1580526406,Health
1580526470,Health
1580526534,Health
1580526598,Health
1580526662,Health
1580526726,Health
1580526790,Health
1580526854,Health
1580526918,Health
1580526982,Health
1580527046,Health
1580527110,Health
1580527174,Health
1580527238,Health
1580527302,Health
1580527366,Health
1580527430,Health
1580527494,Health
1580527558,Health
1580527622,Health
1580527686,Health
1580527750,Health
1580527814,Health
1580527878,Health
1580527942,Health
1580528006,Health
1580528070,Health
1580528134,Health
1580528198,Health
1580528262,Health
1580528326,Health
1580528390,Health
1580528454,Health
1580528518,Health
1580528528,Health
1580528542,Health
1580528556,Health
1580528582,Health
1580528585,Health
1580528600,Health
1580528628,Health
1580528643,Health
1580528646,Health
1580528657,Health
1580528672,Health
1580528700,Health
1580528710,Health
1580528715,Health
1580528729,Health
1580528743,Health
1580528758,Health
1580528774,Health
1580528787,Health
1580528801,Health
1580528815,Health
1580528830,Health
1580528838,Health
1580528844,Health
1580528858,Health
1580528873,Health
1580528887,Health
1580528902,Health
1580528916,Health
1580528930,Health
1580528945,Health
1580528959,Health
1580528966,Health
1580528988,Health
1580529002,Health
1580529017,Health
1580529030,Health
1580529031,Health
1580529045,Health
1580529060,Health
1580529089,Health
1580529094,Health
1580529103,Health
1580529132,Health
1580529146,Health
1580529158,Health
1580529160,Health
1580529175,Health
1580529218,Health
1580529222,Health
1580529247,Health
1580529276,Health
1580529286,Health
1580529290,Health
1580529304,Health
1580529333,Health
1580529347,Health
1580529350,Health
1580529362,Health
1580529376,Health
1580529391,Health
1580529405,Health
1580529414,Health
1580529434,Health
1580529448,Health
1580529478,Health
1580529506,Health
1580529534,Health
1580529542,Health
1580529578,Health
1580529592,Health
1580529606,Health
1580529635,Health
1580529670,Health
1580529734,Health
1580529798,Health
1580529862,Health
1580529926,Health
1580529990,Health
1580530054,Health
1580530118,Health
1580530182,Health
1580530246,Health
1580530310,Health
1580530374,Health
1580530438,Health
1580530502,Health
1580530566,Health
